,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl
0,228b69b0-1655-4255-90ce-58fc8df71063,tag,16521,1522,15977,16,0.001,0,0,1.0,mpnet,microsoft/mpnet-base,2.520334143792429,2.501617511113485,0.29785514454460676,0.1644389182468138,0.2997433811103461,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.022854814251649726,0.0,0.0,0.02000862630930814
1,96141381-e0d3-4290-a768-539a98693497,tag,16521,1522,15977,16,0.001,0,1,1.0,mpnet,microsoft/mpnet-base,2.520825328365449,2.501764496167501,0.31520049735778677,0.1644389182468138,0.3100707266695875,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.02304663797026699,0.0,0.0,0.021310395815155724
2,3f12a619-c92a-4301-b49f-542c40fde8cc,tag,16521,1522,15977,16,0.001,0,2,1.0,mpnet,microsoft/mpnet-base,2.5215909442593976,2.502219319343567,0.3332297171277588,0.1644389182468138,0.3309131877073293,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.024027447252983416,0.0,0.0,0.019950767809694462
3,c49e7fca-cbd2-46c9-9dd1-fbb5822c497b,tag,16521,1522,15977,16,0.001,0,3,1.0,mpnet,microsoft/mpnet-base,2.522716849080978,2.5046295722325644,0.3262667081131489,0.1644389182468138,0.3283469988107905,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.023054785867339198,0.0,0.0,0.019689905372532932
4,26bc30e7-34da-40c0-a864-0a2f6df4d8ee,tag,16521,1522,15977,16,0.001,0,4,1.0,mpnet,microsoft/mpnet-base,2.5245855969767415,2.5067993799845376,0.32421510724277275,0.1644389182468138,0.3237779307754898,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.024870394117238067,0.0,0.0,0.020878510041670365
5,5103de73-1aa9-43bd-98cd-53c28db21748,tag,16521,1522,15977,16,0.001,0,5,1.0,mpnet,microsoft/mpnet-base,2.525319391681302,2.506483713785807,0.32284737332918867,0.1644389182468138,0.3190210928209301,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.0216650311615089,0.0,0.0,0.019354430111971768
6,48b174b3-35c3-47c2-8a48-324d0d67bc26,tag,16521,1522,15977,16,0.001,0,6,1.0,mpnet,microsoft/mpnet-base,2.5287516040186726,2.510016163190206,0.3155113459745104,0.1644389182468138,0.32102397195969207,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.022578509185692253,0.0,0.0,0.020352599295702847
7,105ccbcf-82b4-497f-864c-d0e1e70194b9,tag,16521,1522,15977,16,0.001,0,7,1.0,mpnet,microsoft/mpnet-base,2.529379233237236,2.5094467401504517,0.2959278831209201,0.1644389182468138,0.2969268323214621,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.022106736068972493,0.0,0.0,0.01991217244755138
8,15289952-91f1-47b0-9cd5-f6b53eb7d6ec,tag,16521,1522,15977,16,0.001,0,8,1.0,mpnet,microsoft/mpnet-base,2.5315020199744933,2.512353459993998,0.32060926328877837,0.1644389182468138,0.31939663265944795,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.022860638763526498,0.0,0.0,0.02140236036344008
9,c85968e9-e15e-458c-af93-e94c677b0ca3,tag,16521,1522,15977,16,0.001,0,9,1.0,mpnet,microsoft/mpnet-base,2.5341125265244515,2.51551616191864,0.30618588747280073,0.1644389182468138,0.3022469800337986,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.023669720004677385,0.0,0.0,0.021592225540768017
10,139632bd-36dd-4775-bab3-2a1de3df9677,tag,16521,1522,15977,16,0.001,0,10,1.0,mpnet,microsoft/mpnet-base,2.5348166381159136,2.5159959395726523,0.3014609884986012,0.1644389182468138,0.30005633097577766,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.02194068192664088,0.0,0.0,0.021396859125657516
11,4e385d47-2685-4e91-bc9d-9000a8c96153,tag,16521,1522,15977,16,0.001,0,11,1.0,mpnet,microsoft/mpnet-base,2.535358190536499,2.516489545504252,0.310289089213553,0.1644389182468138,0.30518870876885523,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.023031803859476133,0.0,0.0,0.01996520838954232
