,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
0,490e0836-3512-449e-8690-3eacc17d96ad,dep,16521,1522,15977,16,0.001,0,0,0,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.43942637981907,3.4717718362808228,0.11632258466911995,0.11632258466911995,0.11698065969831634,0.11698065969831634,0.0,2359296,0.05672402804333971,0.05672402804333971,0.0,-1,-1,-1,0.0,0.0,[0.0],-1.0,-1,[-1]
1,141b4e8b-a5cf-4720-b922-d4623bfe86f7,dep,16521,1522,15977,16,0.001,0,1,0,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.43942637981907,3.4717718362808228,0.11632258466911995,0.11632258466911995,0.11698065969831634,0.11698065969831634,0.0,2359296,0.05289993626513703,0.05289993626513703,0.0,-1,-1,-1,0.0,0.0,[0.0],-1.0,-1,[-1]
2,27136d7c-5908-4a7a-9fd5-094074abe0f6,dep,16521,1522,15977,16,0.001,0,2,0,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.43942637981907,3.4717718362808228,0.11632258466911995,0.11632258466911995,0.11698065969831634,0.11698065969831634,0.0,2359296,0.05608667941363926,0.05608667941363926,0.0,-1,-1,-1,0.0,0.0,[0.0],-1.0,-1,[-1]
3,65114ba3-7b5a-41db-86aa-6a3067411bf2,dep,16521,1522,15977,16,0.001,0,0,0,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.141332818615821,3.1506961584091187,0.4547662038478302,0.11649336903057095,0.45853414283031857,0.11698065969831634,694272.0,4718592,0.0057361376673040155,0.0025493945188017845,1.2143259042383683,-1,-1,-1,0.9743664791965424,0.0,[0.9743664791965424],-1.0,-1,[-1]
4,6bcc028b-f73e-4d26-ae9f-c6ff1917a636,dep,16521,1522,15977,16,0.001,0,1,0,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.1389703442973476,3.1494227250417075,0.45719444617396177,0.11649336903057095,0.45997371221130373,0.11698065969831634,739584.0,4718592,0.0012746972594008922,0.0025493945188017845,0.9901266201352374,-1,-1,-1,0.6680210325047801,0.0,[0.6680210325047801],-1.0,-1,[-1]
5,1b991a30-dae0-4cd8-b23b-b9ef41dfdafb,dep,16521,1522,15977,16,0.001,0,2,0,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.140639493542333,3.1498536666234336,0.45999626424257517,0.11649336903057095,0.46429242035425927,0.11698065969831634,701184.0,4718592,0.0038240917782026767,0.0012746972594008922,1.3026003232801546,-1,-1,-1,0.6774122774259083,0.0,[0.6774122774259083],-1.0,-1,[-1]
6,f8fc7b3d-921c-4af5-b22a-28e5a870ef11,dep,16521,1522,15977,16,0.001,0,0,1,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3796040473445768,3.4100386699040732,0.11339113079273998,0.11632258466911995,0.12455404644176003,0.11698065969831634,215808.0,2359296,0.10133843212237094,0.11153601019757807,0.4053707669843451,-1,-1,-1,0.26664913802332296,0.0,[0.26664913802332296],-1.0,-1,[-1]
7,719bfb4e-8b88-414c-ad93-f1227b87df8d,dep,16521,1522,15977,16,0.001,0,1,1,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3850673898573844,3.4164629777272544,0.11089627642986341,0.11632258466911995,0.121737497652876,0.11698065969831634,232704.0,2359296,0.10325047801147227,0.12300828553218611,0.4082794481208174,-1,-1,-1,0.23502658627609146,0.0,[0.23502658627609146],-1.0,-1,[-1]
8,d8161d5f-33d1-4396-bc7d-3750c08eefc1,dep,16521,1522,15977,16,0.001,0,2,1,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3865991330915883,3.419592340787252,0.10840142206698684,0.11632258466911995,0.11835763910621519,0.11698065969831634,215808.0,2359296,0.09623964308476737,0.11281070745697896,0.412061993980043,-1,-1,-1,0.23545398797253425,0.0,[0.23545398797253425],-1.0,-1,[-1]
9,41b41ede-228a-4203-afb3-99f8692cbaf4,dep,16521,1522,15977,16,0.001,0,0,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0518252503487373,3.0687092542648315,0.48072971795031444,0.11649336903057095,0.48475934155348316,0.11698065969831634,531456.0,4718592,0.018483110261312937,0.028680688336520075,0.750426662583652,-1,-1,-1,0.586730179017786,0.0,[0.586730179017786],-1.0,-1,[-1]
10,d401888b-9f0e-476f-b3ed-e3211655588d,dep,16521,1522,15977,16,0.001,0,1,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.047462501833516,3.0663428703943887,0.4798580412178569,0.11649336903057095,0.4811291231144771,0.11698065969831634,562944.0,4718592,0.030592734225621414,0.03505417463352454,0.7692042509410851,-1,-1,-1,0.6005072025374443,0.0,[0.6005072025374443],-1.0,-1,[-1]
11,8a82d22e-d5f8-4439-9599-9629a7efb45c,dep,16521,1522,15977,16,0.001,0,2,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.045284890359448,3.066912611325582,0.47456571819936494,0.11649336903057095,0.47524566564436377,0.11698065969831634,564480.0,4718592,0.036966220522625874,0.035691523263224986,0.7867826093451242,-1,-1,-1,0.6429003003754382,0.0,[0.6429003003754382],-1.0,-1,[-1]
12,41dab883-c719-44d8-935d-6d6e3c912c58,dep,16521,1522,15977,16,0.001,0,0,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3816321319149387,3.4129653771718345,0.11781949728684588,0.11632258466911995,0.12956124428866495,0.11698065969831634,221184.0,2359296,0.11089866156787763,0.1268323773103888,0.2896527788151291,-1,-1,-1,0.19766163385317082,0.0,[0.19766163385317082],-1.0,-1,[-1]
13,565dd4f5-b054-4952-896b-7d3e086c4664,dep,16521,1522,15977,16,0.001,0,1,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3841286666931643,3.413660208384196,0.11470092933325017,0.11632258466911995,0.12455404644176003,0.11698065969831634,231936.0,2359296,0.1089866156787763,0.12619502868068833,0.28521176126065567,-1,-1,-1,0.18440517914226817,0.0,[0.18440517914226817],-1.0,-1,[-1]
14,be333a1e-a5a2-4929-a661-1ada033552a9,dep,16521,1522,15977,16,0.001,0,2,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3829596157996886,3.415679454803467,0.11582361379654463,0.11632258466911995,0.122738937222257,0.11698065969831634,234240.0,2359296,0.11026131293817719,0.12555768005098789,0.28272758372047285,-1,-1,-1,0.20457829025005975,0.0,[0.20457829025005975],-1.0,-1,[-1]
15,303750e6-c7e5-4c62-8be1-305e721d7e99,dep,16521,1522,15977,16,0.001,0,0,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0883184979038854,3.103614091873169,0.49137662661104536,0.11649336903057095,0.48976653940038806,0.11698065969831634,623616.0,4718592,0.03505417463352454,0.040152963671128104,0.6226900780254143,-1,-1,-1,0.3606437065557282,0.0,[0.3606437065557282],-1.0,-1,[-1]
16,5b96e2b3-d839-452e-b19a-d8e265c760a2,dep,16521,1522,15977,16,0.001,0,1,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.082924077587743,3.099164923032125,0.4933067679472013,0.11649336903057095,0.4873881204231082,0.11698065969831634,636672.0,4718592,0.03760356915232632,0.03441682600382409,0.6955705670660054,-1,-1,-1,0.4329668656513902,0.0,[0.4329668656513902],-1.0,-1,[-1]
17,4a46f66a-f207-4559-9482-d1697740e13d,dep,16521,1522,15977,16,0.001,0,2,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0829740378164474,3.1012462774912515,0.5006537575493432,0.11649336903057095,0.4988420854979032,0.11698065969831634,641280.0,4718592,0.04206500956022945,0.0497131931166348,0.5828504203762349,-1,-1,-1,0.44432364488726894,0.0,[0.44432364488726894],-1.0,-1,[-1]
18,9f4d32e6-d76c-4579-beec-e034f8b8d043,dep,16521,1522,15977,16,0.001,0,0,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.370075560385181,3.4018736282984414,0.12998191230586914,0.11632258466911995,0.13913751017087062,0.11698065969831634,201984.0,2359296,0.0911408540471638,0.08795411089866156,0.3517096223460405,-1,-1,-1,0.3365929374427382,0.0,[0.3365929374427382],-1.0,-1,[-1]
19,3c0c87e9-7476-4589-8494-708591589940,dep,16521,1522,15977,16,0.001,0,1,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3700621743356027,3.397642970085144,0.1276118006611364,0.11632258466911995,0.13694686111284973,0.11698065969831634,198912.0,2359296,0.07520713830465264,0.10325047801147227,0.4548181129003346,-1,-1,-1,0.2783731785148781,0.0,[0.2783731785148781],-1.0,-1,[-1]
