step,loss,accuracy
0,12.009946823120117,0.02
10,11.877205848693848,0.02
20,11.8020601272583,0.02
30,11.466278076171875,0.02
40,11.267669677734375,0.02
50,10.935354232788086,0.02
60,10.892234802246094,0.02
70,10.73412036895752,0.02
80,10.743780136108398,0.02
90,10.589274406433105,0.02
100,10.606664657592773,0.02
110,10.450641632080078,0.02
120,10.480145454406738,0.02
130,10.337199211120605,0.01
140,10.370235443115234,0.02
150,10.240961074829102,0.01
160,10.279548645019531,0.03
170,10.169347763061523,0.01
180,10.208427429199219,0.03
190,10.105884552001953,0.02
200,10.14686107635498,0.03
210,10.044424057006836,0.02
220,10.081439971923828,0.03
230,9.978907585144043,0.02
240,10.015331268310547,0.03
250,9.912765502929688,0.02
260,9.94327449798584,0.03
270,9.840764045715332,0.02
280,9.87283706665039,0.03
290,9.768564224243164,0.02
300,9.798181533813477,0.03
310,9.691364288330078,0.02
320,9.722073554992676,0.03
330,9.620461463928223,0.02
340,9.635354042053223,0.03
350,9.54056453704834,0.02
360,9.551989555358887,0.03
370,9.451345443725586,0.02
380,9.473243713378906,0.03
390,9.357061386108398,0.02
400,9.381280899047852,0.03
410,9.269806861877441,0.02
420,9.289690017700195,0.03
430,9.17192554473877,0.02
440,9.196613311767578,0.03
450,9.071579933166504,0.02
460,9.108922004699707,0.03
470,8.972940444946289,0.02
480,8.999480247497559,0.03
490,8.858686447143555,0.02
500,8.896419525146484,0.03
510,8.757241249084473,0.02
520,8.780699729919434,0.03
530,8.646573066711426,0.02
540,8.679839134216309,0.03
550,8.539621353149414,0.02
560,8.568938255310059,0.03
570,8.42979621887207,0.02
580,8.463537216186523,0.03
590,8.3163423538208,0.02
600,8.35783863067627,0.03
610,8.220935821533203,0.02
620,8.24988079071045,0.03
630,8.1129732131958,0.02
640,8.143725395202637,0.03
650,8.013446807861328,0.02
660,8.043608665466309,0.03
670,7.9057111740112305,0.02
680,7.946419715881348,0.03
690,7.792888641357422,0.02
700,7.8289875984191895,0.03
710,7.708216190338135,0.02
720,7.73573112487793,0.03
730,7.605013847351074,0.02
740,7.6243896484375,0.03
750,7.495617389678955,0.02
760,7.535545825958252,0.03
770,7.39439582824707,0.02
780,7.433159828186035,0.03
790,7.296311855316162,0.02
800,7.326990127563477,0.03
810,7.196252822875977,0.02
820,7.2267374992370605,0.03
830,7.101296424865723,0.02
840,7.127825736999512,0.03
850,6.9927215576171875,0.02
860,7.029090881347656,0.03
870,6.896029472351074,0.02
880,6.928773403167725,0.03
890,6.795204162597656,0.02
900,6.834954738616943,0.03
910,6.70507287979126,0.02
920,6.732738018035889,0.03
930,6.6028056144714355,0.02
940,6.642533302307129,0.03
950,6.501315116882324,0.02
960,6.538200855255127,0.03
970,6.4032745361328125,0.02
980,6.443721771240234,0.03
990,6.318016529083252,0.02
1000,6.348646640777588,0.03
1010,6.224327087402344,0.02
1020,6.251860618591309,0.03
1030,6.119485378265381,0.02
1040,6.1637396812438965,0.03
1050,6.0232391357421875,0.02
1060,6.062896251678467,0.03
1070,5.928203105926514,0.02
1080,5.963255405426025,0.03
1090,5.837698936462402,0.02
1100,5.872134208679199,0.03
1110,5.743558406829834,0.02
1120,5.773695468902588,0.03
1130,5.642158031463623,0.02
1140,5.689759731292725,0.03
1150,5.546384811401367,0.02
1160,5.594755172729492,0.03
1170,5.463960647583008,0.02
1180,5.502603054046631,0.03
1190,5.366870403289795,0.02
1200,5.400969982147217,0.03
1210,5.2762041091918945,0.02
1220,5.31278657913208,0.03
1230,5.190591335296631,0.02
1240,5.229280948638916,0.03
1250,5.091121196746826,0.02
1260,5.137270927429199,0.03
1270,4.998528003692627,0.02
1280,5.045006275177002,0.03
1290,4.9210357666015625,0.02
1300,4.951253890991211,0.03
1310,4.822343826293945,0.02
1320,4.861023902893066,0.03
1330,4.727717399597168,0.02
1340,4.776406288146973,0.03
1350,4.63959264755249,0.02
1360,4.686145782470703,0.03
1370,4.5463762283325195,0.02
1380,4.5946946144104,0.03
1390,4.468554496765137,0.02
1400,4.5082879066467285,0.03
1410,4.378907680511475,0.02
1420,4.412448406219482,0.03
1430,4.288522243499756,0.02
1440,4.334990501403809,0.03
1450,4.197482585906982,0.02
1460,4.247436046600342,0.03
1470,4.107348918914795,0.02
1480,4.161061763763428,0.03
1490,4.027229309082031,0.02
1500,4.0710015296936035,0.03
1510,3.9345600605010986,0.02
1520,3.9870169162750244,0.03
1530,3.8495864868164062,0.02
1540,3.904963254928589,0.03
1550,3.7633063793182373,0.02
1560,3.821647882461548,0.03
1570,3.676753520965576,0.02
1580,3.73258376121521,0.03
1590,3.595986843109131,0.02
1600,3.648611307144165,0.03
1610,3.509030342102051,0.02
1620,3.562288522720337,0.03
1630,3.423983335494995,0.02
1640,3.4821836948394775,0.03
1650,3.3312342166900635,0.02
1660,3.3971080780029297,0.03
1670,3.2438745498657227,0.02
1680,3.3099172115325928,0.03
1690,3.1726367473602295,0.02
1700,3.224325656890869,0.03
1710,3.08622407913208,0.02
1720,3.1452701091766357,0.03
1730,3.0027215480804443,0.02
1740,3.0719001293182373,0.03
1750,2.919903039932251,0.02
1760,2.9807190895080566,0.03
1770,2.8259031772613525,0.02
1780,2.9010510444641113,0.03
1790,2.757404327392578,0.02
1800,2.814755439758301,0.03
1810,2.674511671066284,0.02
1820,2.740604877471924,0.03
1830,2.5922398567199707,0.02
1840,2.6582753658294678,0.03
1850,2.5023553371429443,0.02
1860,2.5784695148468018,0.03
1870,2.426278829574585,0.02
1880,2.49963641166687,0.03
1890,2.342090129852295,0.02
1900,2.416822671890259,0.03
1910,2.2635374069213867,0.02
1920,2.3406989574432373,0.03
1930,2.1836791038513184,0.02
1940,2.2543466091156006,0.03
1950,2.0985805988311768,0.02
1960,2.1866304874420166,0.03
1970,2.026557683944702,0.02
1980,2.103105306625366,0.03
1990,1.9427894353866577,0.02
2000,2.028225898742676,0.03
2010,1.8683109283447266,0.02
2020,1.9490898847579956,0.03
2030,1.7874107360839844,0.02
2040,1.8695563077926636,0.03
2050,1.7040609121322632,0.02
2060,1.7994894981384277,0.03
2070,1.6306935548782349,0.02
2080,1.7187968492507935,0.03
2090,1.5490610599517822,0.02
2100,1.6399352550506592,0.03
2110,1.474318504333496,0.02
2120,1.569948673248291,0.03
