step,loss,accuracy
0,10.236433982849121,0.02
10,9.694416046142578,0.03
20,10.039462089538574,0.02
30,9.289793968200684,0.03
40,9.489282608032227,0.02
50,8.74709701538086,0.03
60,9.029678344726562,0.02
70,8.431280136108398,0.02
80,8.804469108581543,0.02
90,8.284724235534668,0.02
100,8.678348541259766,0.02
110,8.182320594787598,0.01
120,8.563057899475098,0.02
130,8.094836235046387,0.01
140,8.454484939575195,0.02
150,8.011999130249023,0.01
160,8.354488372802734,0.02
170,7.931970596313477,0.01
180,8.259725570678711,0.02
190,7.858063697814941,0.01
200,8.169683456420898,0.02
210,7.784841060638428,0.01
220,8.08175277709961,0.02
230,7.707251071929932,0.01
240,7.996330738067627,0.02
250,7.625151634216309,0.01
260,7.913553714752197,0.02
270,7.54952335357666,0.01
280,7.826798439025879,0.02
290,7.471127510070801,0.01
300,7.749599933624268,0.02
310,7.4019365310668945,0.01
320,7.662778854370117,0.03
330,7.315945625305176,0.01
340,7.571390151977539,0.03
350,7.230501174926758,0.01
360,7.492626190185547,0.03
370,7.1441240310668945,0.01
380,7.4022111892700195,0.02
390,7.049391269683838,0.01
400,7.304749011993408,0.02
410,6.9661078453063965,0.01
420,7.214376926422119,0.02
430,6.870989799499512,0.01
440,7.111236572265625,0.02
450,6.7702202796936035,0.01
460,7.015985488891602,0.02
470,6.662576675415039,0.01
480,6.905113697052002,0.02
490,6.553120136260986,0.01
500,6.793612003326416,0.02
510,6.450636863708496,0.01
520,6.677102088928223,0.02
530,6.341261386871338,0.01
540,6.56056022644043,0.02
550,6.231908321380615,0.01
560,6.464030742645264,0.02
570,6.116610527038574,0.01
580,6.34766960144043,0.02
590,6.006012916564941,0.01
600,6.2361650466918945,0.02
610,5.903975009918213,0.01
620,6.129300594329834,0.02
630,5.794429779052734,0.01
640,6.018192768096924,0.02
650,5.682921886444092,0.01
660,5.912537097930908,0.02
670,5.585099697113037,0.01
680,5.807547092437744,0.02
690,5.473559856414795,0.01
700,5.700891971588135,0.02
710,5.370885372161865,0.01
720,5.583715438842773,0.02
730,5.272100925445557,0.01
740,5.48317813873291,0.02
750,5.170598030090332,0.01
760,5.3826799392700195,0.02
770,5.055062294006348,0.01
780,5.279204368591309,0.02
790,4.951763153076172,0.01
800,5.171421051025391,0.02
810,4.860653400421143,0.01
820,5.060817718505859,0.02
830,4.748039245605469,0.01
840,4.971487045288086,0.02
850,4.6479291915893555,0.01
860,4.8677215576171875,0.02
870,4.538702487945557,0.01
880,4.763890266418457,0.02
890,4.451910972595215,0.01
900,4.660974979400635,0.02
910,4.353492736816406,0.01
920,4.561417102813721,0.02
930,4.248813629150391,0.01
940,4.475259304046631,0.02
950,4.149420738220215,0.01
960,4.374172210693359,0.02
970,4.049013614654541,0.01
980,4.271413326263428,0.02
990,3.9576196670532227,0.01
1000,4.165452480316162,0.02
1010,3.852290630340576,0.01
1020,4.0669355392456055,0.02
1030,3.753854990005493,0.01
1040,3.975663661956787,0.02
1050,3.656721353530884,0.01
1060,3.8744654655456543,0.02
1070,3.556485891342163,0.01
1080,3.774414300918579,0.02
1090,3.4678032398223877,0.01
1100,3.675304412841797,0.02
1110,3.3702852725982666,0.01
1120,3.57710599899292,0.02
1130,3.2759029865264893,0.01
1140,3.4957046508789062,0.02
1150,3.1726505756378174,0.01
1160,3.388542652130127,0.02
1170,3.0709569454193115,0.01
1180,3.300332546234131,0.02
1190,2.987025499343872,0.01
1200,3.1967616081237793,0.02
1210,2.8961923122406006,0.01
1220,3.103092670440674,0.02
1230,2.8033151626586914,0.01
1240,3.0181615352630615,0.02
1250,2.699840545654297,0.01
1260,2.9236297607421875,0.02
1270,2.601384162902832,0.01
1280,2.8253326416015625,0.02
1290,2.519507884979248,0.01
1300,2.725299835205078,0.02
1310,2.4214751720428467,0.01
1320,2.634275436401367,0.02
1330,2.3329904079437256,0.01
1340,2.554234743118286,0.02
1350,2.2392003536224365,0.01
1360,2.4586470127105713,0.02
1370,2.1431658267974854,0.01
1380,2.3624629974365234,0.02
1390,2.0648481845855713,0.01
1400,2.263925313949585,0.02
1410,1.9668596982955933,0.01
1420,2.1690454483032227,0.02
1430,1.8733503818511963,0.01
1440,2.0881314277648926,0.02
1450,1.7796540260314941,0.01
1460,1.9936177730560303,0.02
1470,1.689095139503479,0.01
1480,1.900430679321289,0.02
1490,1.6072452068328857,0.01
1500,1.80599844455719,0.02
1510,1.520780086517334,0.01
1520,1.712765097618103,0.02
1530,1.4357529878616333,0.01
1540,1.6339384317398071,0.02
1550,1.3414306640625,0.01
1560,1.5405824184417725,0.02
1570,1.2455283403396606,0.01
1580,1.4545420408248901,0.02
1590,1.1730482578277588,0.01
1600,1.3626377582550049,0.02
1610,1.080732822418213,0.01
1620,1.2656428813934326,0.02
1630,0.9957653880119324,0.01
1640,1.1918491125106812,0.02
1650,0.9048001170158386,0.01
1660,1.1022145748138428,0.02
1670,0.808419942855835,0.01
1680,1.0086942911148071,0.02
1690,0.7396164536476135,0.01
1700,0.9187536835670471,0.02
1710,0.6480021476745605,0.01
1720,0.8301969766616821,0.02
1730,0.5617036819458008,0.01
1740,0.7559947967529297,0.02
1750,0.47092363238334656,0.01
1760,0.6674901843070984,0.02
1770,0.3850482106208801,0.02
1780,0.5793875455856323,0.02
1790,0.3111168146133423,0.02
1800,0.4883314073085785,0.02
1810,0.22358661890029907,0.02
1820,0.40110543370246887,0.02
1830,0.13601376116275787,0.02
1840,0.3206433951854706,0.02
1850,0.0523470863699913,0.02
1860,0.23717305064201355,0.02
1870,-0.025437474250793457,0.02
1880,0.14855793118476868,0.02
1890,-0.10645806789398193,0.02
1900,0.06484343111515045,0.02
1910,-0.18853908777236938,0.02
1920,-0.010739695280790329,0.02
1930,-0.2705196738243103,0.02
1940,-0.09927953034639359,0.02
1950,-0.35767921805381775,0.02
1960,-0.17366154491901398,0.02
1970,-0.4291854798793793,0.02
1980,-0.2663601040840149,0.02
1990,-0.5155643224716187,0.02
2000,-0.348334938287735,0.02
2010,-0.5835222601890564,0.02
2020,-0.4271959066390991,0.02
2030,-0.6643784046173096,0.02
2040,-0.5139577984809875,0.02
2050,-0.7455415725708008,0.02
2060,-0.5895385146141052,0.02
2070,-0.8175927400588989,0.02
2080,-0.671502411365509,0.02
2090,-0.9012940526008606,0.02
2100,-0.7616788744926453,0.02
2110,-0.9769587516784668,0.02
2120,-0.8348191976547241,0.02
2130,-1.0523231029510498,0.02
2140,-0.9138779044151306,0.02
2150,-1.1338742971420288,0.02
2160,-0.9912655353546143,0.02
2170,-1.2029247283935547,0.02
2180,-1.071616768836975,0.02
2190,-1.2798428535461426,0.02
2200,-1.1496267318725586,0.02
2210,-1.3515808582305908,0.02
2220,-1.226150393486023,0.02
2230,-1.426174283027649,0.02
2240,-1.3113821744918823,0.02
2250,-1.5052406787872314,0.02
2260,-1.3858963251113892,0.02
2270,-1.5770705938339233,0.02
2280,-1.465863585472107,0.02
2290,-1.6498298645019531,0.02
2300,-1.547497272491455,0.02
2310,-1.7200067043304443,0.02
2320,-1.6176776885986328,0.02
2330,-1.7986950874328613,0.02
2340,-1.6937499046325684,0.02
2350,-1.8753336668014526,0.02
2360,-1.7690346240997314,0.02
2370,-1.9390995502471924,0.02
2380,-1.8439457416534424,0.02
2390,-2.0108141899108887,0.02
2400,-1.925099492073059,0.02
2410,-2.0774781703948975,0.02
2420,-1.9854413270950317,0.02
2430,-2.1508352756500244,0.02
2440,-2.0674262046813965,0.02
2450,-2.231295108795166,0.02
2460,-2.1405277252197266,0.02
2470,-2.296095371246338,0.02
2480,-2.2103190422058105,0.02
2490,-2.3724865913391113,0.02
2500,-2.2915408611297607,0.02
2510,-2.4357879161834717,0.02
2520,-2.3597402572631836,0.02
2530,-2.5076215267181396,0.02
2540,-2.4349524974823,0.02
2550,-2.5782206058502197,0.02
2560,-2.5004706382751465,0.02
2570,-2.639516830444336,0.02
2580,-2.5806543827056885,0.02
2590,-2.7184698581695557,0.02
2600,-2.651888132095337,0.02
2610,-2.7787394523620605,0.02
2620,-2.7207889556884766,0.02
2630,-2.852919340133667,0.02
2640,-2.7931106090545654,0.02
2650,-2.9222240447998047,0.02
2660,-2.861415147781372,0.02
2670,-2.9857258796691895,0.02
2680,-2.933649778366089,0.02
2690,-3.0628409385681152,0.02
2700,-3.0049281120300293,0.02
2710,-3.1240594387054443,0.02
2720,-3.068284511566162,0.02
2730,-3.1956417560577393,0.02
2740,-3.14253306388855,0.02
2750,-3.267763376235962,0.02
2760,-3.205540657043457,0.02
2770,-3.323538303375244,0.02
2780,-3.275656223297119,0.02
2790,-3.3982505798339844,0.02
2800,-3.34210467338562,0.02
2810,-3.458220958709717,0.03
2820,-3.410226345062256,0.02
2830,-3.5298922061920166,0.02
2840,-3.480257272720337,0.02
2850,-3.601004123687744,0.03
2860,-3.5408942699432373,0.02
2870,-3.6595492362976074,0.02
2880,-3.608964204788208,0.02
2890,-3.730226516723633,0.03
2900,-3.680922746658325,0.02
2910,-3.787416934967041,0.03
2920,-3.7389016151428223,0.02
2930,-3.8582816123962402,0.03
2940,-3.8064985275268555,0.02
2950,-3.916085720062256,0.03
2960,-3.8648784160614014,0.02
2970,-3.985491991043091,0.03
2980,-3.928637742996216,0.02
2990,-4.052055835723877,0.03
3000,-3.984194040298462,0.02
3010,-4.112856864929199,0.03
3020,-4.0497565269470215,0.03
3030,-4.179763317108154,0.03
3040,-4.115546226501465,0.03
3050,-4.236745834350586,0.03
3060,-4.168916702270508,0.03
3070,-4.302318572998047,0.03
3080,-4.234297752380371,0.03
3090,-4.363072395324707,0.03
3100,-4.286797523498535,0.03
3110,-4.420819282531738,0.03
3120,-4.351576805114746,0.03
3130,-4.4804534912109375,0.03
3140,-4.414115905761719,0.03
3150,-4.533064365386963,0.03
3160,-4.469424247741699,0.03
3170,-4.592716217041016,0.03
3180,-4.5286736488342285,0.03
3190,-4.653038501739502,0.03
3200,-4.584615230560303,0.03
3210,-4.70218563079834,0.03
3220,-4.641390323638916,0.03
3230,-4.76692008972168,0.03
3240,-4.70672607421875,0.03
3250,-4.820183753967285,0.04
3260,-4.759272575378418,0.03
3270,-4.882140636444092,0.04
3280,-4.817147254943848,0.04
3290,-4.947923183441162,0.04
3300,-4.86782169342041,0.04
3310,-4.996278285980225,0.04
3320,-4.92575216293335,0.03
3330,-5.055614471435547,0.04
3340,-4.980539798736572,0.04
3350,-5.1058735847473145,0.04
3360,-5.024683952331543,0.04
3370,-5.166370391845703,0.04
3380,-5.079189300537109,0.04
3390,-5.223363876342773,0.04
3400,-5.126338481903076,0.04
3410,-5.2749786376953125,0.04
3420,-5.174403190612793,0.04
3430,-5.3362908363342285,0.04
3440,-5.2306365966796875,0.04
3450,-5.388869285583496,0.04
3460,-5.276771545410156,0.04
3470,-5.444319248199463,0.05
3480,-5.332755088806152,0.03
3490,-5.499829292297363,0.05
3500,-5.377558708190918,0.04
3510,-5.547941207885742,0.05
3520,-5.424591541290283,0.04
3530,-5.606036186218262,0.05
3540,-5.4675679206848145,0.03
3550,-5.657085418701172,0.05
3560,-5.509435176849365,0.03
3570,-5.711705207824707,0.05
3580,-5.558373928070068,0.05
3590,-5.757959365844727,0.05
3600,-5.601029396057129,0.05
3610,-5.809617519378662,0.05
3620,-5.6484856605529785,0.05
3630,-5.863471031188965,0.05
3640,-5.692607879638672,0.05
3650,-5.912816047668457,0.05
3660,-5.73300313949585,0.05
3670,-5.960564136505127,0.05
3680,-5.779315948486328,0.05
3690,-6.004662036895752,0.05
3700,-5.822249412536621,0.05
3710,-6.0454607009887695,0.05
3720,-5.865448951721191,0.05
3730,-6.094602108001709,0.05
3740,-5.904355049133301,0.05
3750,-6.137655258178711,0.05
3760,-5.945194721221924,0.05
3770,-6.176311492919922,0.05
3780,-5.989288330078125,0.05
3790,-6.2148637771606445,0.05
3800,-6.03176212310791,0.05
3810,-6.253920555114746,0.05
3820,-6.070687770843506,0.05
3830,-6.296398639678955,0.05
3840,-6.1098952293396,0.05
3850,-6.336993217468262,0.05
3860,-6.149016857147217,0.05
3870,-6.3767828941345215,0.05
3880,-6.189759254455566,0.05
3890,-6.41607141494751,0.05
3900,-6.230044841766357,0.05
3910,-6.452420711517334,0.05
3920,-6.265195369720459,0.05
3930,-6.486791610717773,0.05
3940,-6.303615570068359,0.05
3950,-6.522226333618164,0.05
3960,-6.344449043273926,0.05
3970,-6.556288242340088,0.05
3980,-6.383241176605225,0.05
3990,-6.59161901473999,0.05
4000,-6.424337387084961,0.05
4010,-6.626284599304199,0.05
4020,-6.462131023406982,0.05
4030,-6.657768249511719,0.05
4040,-6.496915340423584,0.05
4050,-6.696098804473877,0.05
4060,-6.531230926513672,0.05
4070,-6.726333141326904,0.05
4080,-6.568435192108154,0.05
4090,-6.756035327911377,0.06
4100,-6.605876922607422,0.05
4110,-6.789577007293701,0.06
4120,-6.641934871673584,0.05
4130,-6.817718029022217,0.06
4140,-6.674696445465088,0.05
4150,-6.8528547286987305,0.07
4160,-6.707849025726318,0.05
4170,-6.8837666511535645,0.08
4180,-6.736798286437988,0.05
4190,-6.913450717926025,0.07
4200,-6.76981782913208,0.05
4210,-6.941967964172363,0.07
4220,-6.798313617706299,0.05
4230,-6.969435214996338,0.07
4240,-6.824954509735107,0.05
4250,-6.994933128356934,0.07
4260,-6.85106086730957,0.05
4270,-7.020778656005859,0.07
4280,-6.877573013305664,0.05
4290,-7.044968605041504,0.07
4300,-6.902344703674316,0.05
4310,-7.067584037780762,0.07
4320,-6.927488327026367,0.06
4330,-7.089958667755127,0.07
4340,-6.952994346618652,0.06
4350,-7.111134052276611,0.07
4360,-6.976296424865723,0.06
4370,-7.132578372955322,0.05
4380,-7.001048564910889,0.07
4390,-7.153267860412598,0.06
4400,-7.0227508544921875,0.08
4410,-7.172479629516602,0.06
4420,-7.045657634735107,0.08
4430,-7.193282127380371,0.05
4440,-7.065140724182129,0.08
4450,-7.212487697601318,0.05
4460,-7.0857367515563965,0.08
4470,-7.23128080368042,0.05
4480,-7.105763912200928,0.07
4490,-7.2488532066345215,0.05
4500,-7.124661445617676,0.08
4510,-7.266743183135986,0.05
4520,-7.142112731933594,0.07
4530,-7.285530090332031,0.05
4540,-7.160592079162598,0.08
4550,-7.301955699920654,0.05
4560,-7.179510116577148,0.08
4570,-7.317061424255371,0.05
4580,-7.197160720825195,0.08
4590,-7.331295967102051,0.05
4600,-7.212435245513916,0.07
4610,-7.34382963180542,0.06
4620,-7.228755474090576,0.07
4630,-7.357184886932373,0.06
4640,-7.243927955627441,0.07
4650,-7.369904041290283,0.06
4660,-7.258820056915283,0.07
4670,-7.380329132080078,0.06
4680,-7.272800922393799,0.07
4690,-7.391275405883789,0.06
4700,-7.286426544189453,0.07
4710,-7.4017109870910645,0.06
4720,-7.299213409423828,0.07
4730,-7.411121845245361,0.06
4740,-7.310854911804199,0.07
4750,-7.419955730438232,0.06
4760,-7.322653770446777,0.07
4770,-7.428269386291504,0.06
4780,-7.334223747253418,0.07
4790,-7.435682773590088,0.06
4800,-7.345898628234863,0.07
4810,-7.442343711853027,0.06
4820,-7.3567118644714355,0.07
4830,-7.448016166687012,0.06
4840,-7.3671183586120605,0.07
4850,-7.453225612640381,0.06
4860,-7.376393795013428,0.06
4870,-7.457489490509033,0.05
4880,-7.38477087020874,0.07
4890,-7.461035251617432,0.05
4900,-7.392624855041504,0.07
4910,-7.464380741119385,0.05
4920,-7.399815082550049,0.07
4930,-7.468169689178467,0.05
4940,-7.406147003173828,0.07
4950,-7.47199821472168,0.05
4960,-7.411523818969727,0.07
4970,-7.475963592529297,0.05
4980,-7.414947509765625,0.07
4990,-7.479562282562256,0.04
