step,loss,accuracy
0,9.332265853881836,0.02
10,9.26645565032959,0.0
20,9.116543769836426,0.02
30,8.857002258300781,0.0
40,8.60208511352539,0.02
50,8.373244285583496,0.0
60,8.300741195678711,0.02
70,8.243705749511719,0.0
80,8.233222007751465,0.02
90,8.190337181091309,0.01
100,8.19183349609375,0.02
110,8.155940055847168,0.01
120,8.151488304138184,0.02
130,8.11398983001709,0.01
140,8.109128952026367,0.02
150,8.068243026733398,0.01
160,8.06728744506836,0.02
170,8.016942024230957,0.01
180,8.02410888671875,0.02
190,7.96843957901001,0.01
200,7.970429420471191,0.02
210,7.916133403778076,0.01
220,7.915840148925781,0.02
230,7.857165813446045,0.01
240,7.863884925842285,0.02
250,7.797966003417969,0.01
260,7.8006062507629395,0.02
270,7.739621162414551,0.01
280,7.744433403015137,0.02
290,7.671929836273193,0.01
300,7.676215171813965,0.02
310,7.603712558746338,0.01
320,7.6129631996154785,0.02
330,7.541604042053223,0.01
340,7.53683614730835,0.02
350,7.455358028411865,0.01
360,7.464029788970947,0.02
370,7.3823466300964355,0.01
380,7.3862385749816895,0.02
390,7.299570083618164,0.01
400,7.30873966217041,0.02
410,7.217106819152832,0.01
420,7.216439247131348,0.02
430,7.126333236694336,0.01
440,7.118128776550293,0.02
450,7.024107933044434,0.01
460,7.028237342834473,0.02
470,6.938910484313965,0.01
480,6.931085109710693,0.02
490,6.832616806030273,0.01
500,6.823934555053711,0.02
510,6.728493690490723,0.01
520,6.724092483520508,0.02
530,6.615962982177734,0.01
540,6.622518062591553,0.02
550,6.522767543792725,0.01
560,6.5205583572387695,0.02
570,6.409395694732666,0.01
580,6.408561706542969,0.02
590,6.299300193786621,0.01
600,6.301515579223633,0.02
610,6.1990647315979,0.01
620,6.1981072425842285,0.02
630,6.103456974029541,0.01
640,6.100006580352783,0.02
650,5.997219085693359,0.01
660,6.003817558288574,0.02
670,5.893792629241943,0.01
680,5.891946792602539,0.02
690,5.7828288078308105,0.01
700,5.789196491241455,0.02
710,5.682063579559326,0.01
720,5.686386585235596,0.02
730,5.588019371032715,0.01
740,5.58721399307251,0.02
750,5.4942779541015625,0.01
760,5.497560501098633,0.02
770,5.3842339515686035,0.01
780,5.388364315032959,0.02
790,5.283003807067871,0.01
800,5.296905040740967,0.02
