step,loss,accuracy
0,8.139269828796387,0.06
10,8.072240829467773,0.02
20,7.964475631713867,0.06
30,7.703648090362549,0.02
40,7.417827606201172,0.06
50,7.081633567810059,0.02
60,6.9463911056518555,0.06
70,6.819655418395996,0.02
80,6.784809112548828,0.06
90,6.708337783813477,0.02
100,6.696478366851807,0.05
110,6.618407249450684,0.03
120,6.602994441986084,0.05
130,6.513366222381592,0.03
140,6.498846530914307,0.05
150,6.39924430847168,0.04
160,6.383416652679443,0.05
170,6.277704238891602,0.04
180,6.260526180267334,0.05
190,6.143917560577393,0.04
200,6.140798091888428,0.05
210,6.01688814163208,0.04
220,6.016346454620361,0.05
230,5.896224021911621,0.05
240,5.889934062957764,0.06
250,5.772491455078125,0.05
260,5.76627779006958,0.07
270,5.657470226287842,0.05
280,5.63711404800415,0.09
290,5.5416083335876465,0.05
300,5.511817455291748,0.09
310,5.433326244354248,0.05
320,5.390380859375,0.09
330,5.333991527557373,0.05
340,5.270310401916504,0.09
350,5.233508586883545,0.05
360,5.164294242858887,0.09
370,5.1255903244018555,0.05
380,5.061901569366455,0.08
390,5.025532245635986,0.05
400,4.954637050628662,0.08
410,4.927868843078613,0.05
420,4.853355407714844,0.09
430,4.825971603393555,0.06
440,4.750776290893555,0.09
450,4.717170715332031,0.06
460,4.646941661834717,0.09
470,4.613451957702637,0.06
480,4.54362154006958,0.09
490,4.507380962371826,0.06
500,4.430910110473633,0.09
510,4.402827739715576,0.06
520,4.303933143615723,0.08
530,4.27385139465332,0.08
540,4.186806678771973,0.08
550,4.16461706161499,0.06
560,4.079649448394775,0.08
570,4.056879043579102,0.07
580,3.9753661155700684,0.09
590,3.9402291774749756,0.07
600,3.857557535171509,0.09
610,3.8384478092193604,0.07
620,3.7377500534057617,0.09
630,3.7258543968200684,0.07
640,3.626406192779541,0.09
650,3.62062931060791,0.07
660,3.523191452026367,0.09
670,3.513292074203491,0.07
680,3.4157748222351074,0.09
690,3.4118573665618896,0.06
700,3.308623790740967,0.09
710,3.310121774673462,0.07
720,3.1999754905700684,0.09
730,3.2063474655151367,0.06
740,3.0837409496307373,0.09
750,3.0994651317596436,0.07
760,2.9919052124023438,0.09
770,2.990389347076416,0.07
780,2.8926138877868652,0.09
790,2.879511833190918,0.07
800,2.772228479385376,0.09
810,2.7897956371307373,0.06
820,2.67093825340271,0.09
830,2.6871140003204346,0.06
840,2.5694522857666016,0.09
850,2.58400297164917,0.06
860,2.4741270542144775,0.09
870,2.480560302734375,0.06
880,2.3681516647338867,0.09
890,2.3860483169555664,0.06
900,2.2671167850494385,0.09
910,2.2864084243774414,0.06
920,2.17275333404541,0.1
930,2.1880040168762207,0.06
940,2.073639154434204,0.09
950,2.087388038635254,0.06
960,1.9776866436004639,0.09
970,1.9918665885925293,0.06
980,1.8739078044891357,0.1
990,1.8936419486999512,0.06
1000,1.7688201665878296,0.09
1010,1.796467661857605,0.06
1020,1.6774725914001465,0.1
1030,1.6928502321243286,0.06
1040,1.5821295976638794,0.1
1050,1.6007980108261108,0.06
1060,1.4917837381362915,0.1
1070,1.505911946296692,0.06
1080,1.3935537338256836,0.1
1090,1.405924916267395,0.06
1100,1.2942790985107422,0.1
1110,1.3152567148208618,0.05
1120,1.1944860219955444,0.09
1130,1.2129108905792236,0.06
1140,1.0984078645706177,0.1
1150,1.1213881969451904,0.06
1160,1.0136464834213257,0.1
1170,1.0249830484390259,0.06
1180,0.9171202182769775,0.1
1190,0.9328143000602722,0.05
1200,0.8216104507446289,0.1
1210,0.8504683971405029,0.06
1220,0.726120114326477,0.11
1230,0.7537993788719177,0.05
1240,0.6380647420883179,0.11
1250,0.6594114899635315,0.05
1260,0.5454407930374146,0.11
1270,0.5695656538009644,0.05
1280,0.45493242144584656,0.11
1290,0.48439380526542664,0.06
1300,0.35938411951065063,0.11
1310,0.38412466645240784,0.05
1320,0.2643931806087494,0.11
1330,0.29776373505592346,0.05
