step,loss,accuracy
0,8.66242504119873,0.01
10,8.590940475463867,0.01
20,8.443305969238281,0.01
30,8.174166679382324,0.01
40,7.921983242034912,0.01
50,7.694100379943848,0.01
60,7.627068519592285,0.01
70,7.5724568367004395,0.01
80,7.5638041496276855,0.01
90,7.519570350646973,0.01
100,7.516385078430176,0.01
110,7.4774909019470215,0.01
120,7.472533226013184,0.01
130,7.432104587554932,0.01
140,7.420981407165527,0.01
150,7.3762898445129395,0.01
160,7.361413478851318,0.01
170,7.313073635101318,0.01
180,7.2924275398254395,0.01
190,7.246459484100342,0.01
200,7.218533992767334,0.01
210,7.164214611053467,0.01
220,7.132828235626221,0.01
230,7.07381534576416,0.01
240,7.037041664123535,0.01
250,6.9800896644592285,0.01
260,6.938100337982178,0.01
270,6.880141735076904,0.01
280,6.824985504150391,0.01
290,6.771396160125732,0.02
300,6.710166931152344,0.01
310,6.651486873626709,0.02
320,6.582149505615234,0.01
330,6.5310587882995605,0.02
340,6.4519124031066895,0.01
350,6.394892692565918,0.02
360,6.311556816101074,0.01
370,6.25792121887207,0.02
380,6.167576313018799,0.01
390,6.122568607330322,0.02
400,6.012432098388672,0.01
410,5.975461483001709,0.02
420,5.863523483276367,0.01
430,5.823296546936035,0.02
440,5.700180530548096,0.01
450,5.672428131103516,0.02
460,5.540297508239746,0.01
470,5.5018768310546875,0.02
480,5.351022243499756,0.01
490,5.314843654632568,0.02
500,5.145693778991699,0.01
510,5.101365089416504,0.02
520,4.951401710510254,0.01
530,4.895092964172363,0.02
540,4.740004539489746,0.01
550,4.694128513336182,0.02
560,4.533805847167969,0.01
570,4.491161823272705,0.02
580,4.334246635437012,0.01
590,4.292707920074463,0.02
600,4.12755823135376,0.01
610,4.080020427703857,0.02
620,3.9251151084899902,0.01
630,3.8794472217559814,0.02
640,3.7285313606262207,0.01
650,3.694065809249878,0.02
660,3.52886700630188,0.01
670,3.495474100112915,0.02
680,3.3400392532348633,0.01
690,3.295664072036743,0.02
700,3.1332359313964844,0.01
710,3.0946426391601562,0.02
720,2.9438858032226562,0.01
730,2.905133008956909,0.02
740,2.754922866821289,0.01
750,2.7100138664245605,0.02
760,2.554462432861328,0.01
770,2.524958848953247,0.02
780,2.371244430541992,0.01
790,2.322525978088379,0.02
800,2.1717402935028076,0.01
810,2.13637638092041,0.02
820,1.9922901391983032,0.01
830,1.9477580785751343,0.02
840,1.8003157377243042,0.01
850,1.7610336542129517,0.02
860,1.6120730638504028,0.01
870,1.5699278116226196,0.02
880,1.4169577360153198,0.01
890,1.3778899908065796,0.02
900,1.237349510192871,0.01
910,1.2030344009399414,0.02
920,1.0541353225708008,0.01
930,1.0174521207809448,0.02
940,0.8716394901275635,0.01
950,0.8308707475662231,0.02
960,0.6830896139144897,0.01
970,0.6462538838386536,0.02
980,0.5001006722450256,0.01
990,0.4718036651611328,0.02
1000,0.32467201352119446,0.01
1010,0.29119768738746643,0.02
1020,0.14367824792861938,0.01
1030,0.10789047181606293,0.02
1040,-0.03594226390123367,0.01
1050,-0.0677824318408966,0.02
1060,-0.20778770744800568,0.01
1070,-0.23530200123786926,0.02
1080,-0.3871650695800781,0.01
1090,-0.42119964957237244,0.02
1100,-0.5689069628715515,0.01
1110,-0.5989506244659424,0.02
1120,-0.7452046871185303,0.01
1130,-0.7723403573036194,0.02
1140,-0.917661726474762,0.01
1150,-0.9470446705818176,0.02
1160,-1.094456434249878,0.01
1170,-1.115448236465454,0.02
1180,-1.2559819221496582,0.01
1190,-1.291732907295227,0.02
1200,-1.4374574422836304,0.01
1210,-1.4593678712844849,0.02
1220,-1.6006920337677002,0.01
1230,-1.6287752389907837,0.02
1240,-1.7680237293243408,0.01
1250,-1.792048454284668,0.02
1260,-1.9340312480926514,0.01
1270,-1.9636895656585693,0.02
1280,-2.109041213989258,0.01
1290,-2.136683225631714,0.02
1300,-2.281334161758423,0.01
1310,-2.3036792278289795,0.02
1320,-2.443950653076172,0.01
1330,-2.4646530151367188,0.02
1340,-2.603020191192627,0.01
1350,-2.62353253364563,0.02
1360,-2.7684285640716553,0.01
1370,-2.7892041206359863,0.02
1380,-2.9339356422424316,0.01
1390,-2.953362226486206,0.02
1400,-3.0938022136688232,0.01
1410,-3.1144933700561523,0.02
1420,-3.2584049701690674,0.01
1430,-3.2804808616638184,0.02
1440,-3.4144961833953857,0.01
1450,-3.440297842025757,0.02
1460,-3.5784506797790527,0.01
1470,-3.596304178237915,0.02
1480,-3.736114740371704,0.01
1490,-3.7549827098846436,0.02
1500,-3.8908755779266357,0.01
1510,-3.9142873287200928,0.02
1520,-4.051082134246826,0.01
1530,-4.070197105407715,0.02
1540,-4.2052106857299805,0.01
1550,-4.223503112792969,0.02
1560,-4.355306625366211,0.01
1570,-4.371273994445801,0.02
1580,-4.505850791931152,0.01
1590,-4.5254130363464355,0.02
1600,-4.669678688049316,0.01
1610,-4.677790641784668,0.02
1620,-4.819227695465088,0.01
1630,-4.830967903137207,0.02
1640,-4.966803073883057,0.01
1650,-4.9869256019592285,0.02
1660,-5.121562957763672,0.01
1670,-5.135274887084961,0.02
1680,-5.262821197509766,0.01
1690,-5.280663967132568,0.02
1700,-5.415818691253662,0.01
1710,-5.425156116485596,0.02
1720,-5.562088489532471,0.01
1730,-5.579880714416504,0.02
1740,-5.711540222167969,0.01
1750,-5.719997406005859,0.02
1760,-5.851978778839111,0.01
1770,-5.870619773864746,0.02
1780,-5.9990129470825195,0.01
1790,-6.009582042694092,0.02
1800,-6.142114162445068,0.01
1810,-6.151552677154541,0.02
1820,-6.284668445587158,0.01
1830,-6.293834686279297,0.02
1840,-6.427557468414307,0.01
1850,-6.4362969398498535,0.02
1860,-6.567197322845459,0.01
1870,-6.582115650177002,0.02
1880,-6.710501194000244,0.01
1890,-6.713627338409424,0.02
1900,-6.847063064575195,0.01
1910,-6.857957363128662,0.02
1920,-6.987415790557861,0.01
1930,-6.996009349822998,0.02
1940,-7.123352527618408,0.01
1950,-7.135104656219482,0.02
1960,-7.261605739593506,0.01
1970,-7.2643961906433105,0.02
1980,-7.395198345184326,0.01
1990,-7.405133247375488,0.02
2000,-7.527681827545166,0.01
2010,-7.535443305969238,0.02
2020,-7.66562032699585,0.01
2030,-7.666776657104492,0.02
2040,-7.7979207038879395,0.01
2050,-7.805201053619385,0.02
2060,-7.9327921867370605,0.01
2070,-7.935221195220947,0.02
2080,-8.058274269104004,0.01
2090,-8.062018394470215,0.02
2100,-8.196237564086914,0.01
2110,-8.193768501281738,0.02
2120,-8.318985939025879,0.01
2130,-8.321300506591797,0.02
2140,-8.45125961303711,0.01
2150,-8.456502914428711,0.02
2160,-8.572410583496094,0.01
2170,-8.57971477508545,0.02
2180,-8.701618194580078,0.01
2190,-8.705840110778809,0.02
2200,-8.831109046936035,0.01
2210,-8.833227157592773,0.02
2220,-8.952266693115234,0.01
2230,-8.955669403076172,0.02
2240,-9.077178955078125,0.01
2250,-9.07627010345459,0.02
2260,-9.199414253234863,0.01
2270,-9.201813697814941,0.02
2280,-9.320716857910156,0.01
2290,-9.321608543395996,0.02
2300,-9.442171096801758,0.01
2310,-9.443424224853516,0.02
2320,-9.56227970123291,0.01
2330,-9.559948921203613,0.02
2340,-9.68409538269043,0.01
2350,-9.682424545288086,0.02
2360,-9.800464630126953,0.01
2370,-9.797564506530762,0.02
2380,-9.920755386352539,0.01
2390,-9.91755199432373,0.02
2400,-10.037059783935547,0.01
2410,-10.030081748962402,0.02
2420,-10.152249336242676,0.01
2430,-10.14578628540039,0.02
2440,-10.265695571899414,0.01
2450,-10.259605407714844,0.02
2460,-10.381050109863281,0.01
2470,-10.372535705566406,0.02
2480,-10.492116928100586,0.01
2490,-10.48954963684082,0.02
