step,loss,accuracy
0,9.133761405944824,0.02
10,8.604083061218262,0.02
20,8.935978889465332,0.01
30,8.21114730834961,0.02
40,8.413722038269043,0.01
50,7.6624932289123535,0.02
60,8.04765510559082,0.01
70,7.466712474822998,0.02
80,7.922688007354736,0.01
90,7.361765384674072,0.02
100,7.833944797515869,0.01
110,7.264301300048828,0.02
120,7.732424259185791,0.01
130,7.159019470214844,0.02
140,7.621102333068848,0.01
150,7.051023006439209,0.02
160,7.502192497253418,0.01
170,6.934192180633545,0.02
180,7.376847267150879,0.01
190,6.819770336151123,0.02
200,7.248884201049805,0.01
210,6.700923442840576,0.03
220,7.1160407066345215,0.02
230,6.57477331161499,0.03
240,6.98054838180542,0.03
250,6.454416275024414,0.03
260,6.864957809448242,0.04
270,6.3409504890441895,0.04
280,6.748152732849121,0.04
290,6.2308807373046875,0.04
300,6.640153408050537,0.04
310,6.133166790008545,0.04
320,6.533262252807617,0.03
330,6.028225421905518,0.03
340,6.440022945404053,0.03
350,5.922258377075195,0.02
360,6.353785037994385,0.02
370,5.819674968719482,0.02
380,6.260978698730469,0.02
390,5.718792915344238,0.02
400,6.1619696617126465,0.03
410,5.632078170776367,0.02
420,6.068841457366943,0.03
430,5.53084135055542,0.02
440,5.95285701751709,0.03
450,5.431783676147461,0.03
460,5.863694190979004,0.03
470,5.325278282165527,0.03
480,5.756254196166992,0.02
490,5.230027198791504,0.02
500,5.639835834503174,0.03
510,5.117220401763916,0.02
520,5.533267498016357,0.03
530,5.012228488922119,0.02
540,5.405381679534912,0.04
550,4.884914398193359,0.02
560,5.297192096710205,0.03
570,4.772047996520996,0.03
580,5.183103084564209,0.04
590,4.648088455200195,0.03
600,5.07023286819458,0.04
610,4.5452165603637695,0.03
620,4.956503868103027,0.05
630,4.44128942489624,0.03
640,4.852171897888184,0.05
650,4.320766925811768,0.03
660,4.747932434082031,0.05
670,4.210680961608887,0.03
680,4.639883995056152,0.05
690,4.109348297119141,0.03
700,4.53750467300415,0.05
710,3.999222993850708,0.03
720,4.4318132400512695,0.05
730,3.891380786895752,0.03
740,4.312525749206543,0.05
750,3.7833166122436523,0.03
760,4.2213592529296875,0.05
770,3.682281970977783,0.03
780,4.125319004058838,0.05
790,3.571746826171875,0.03
800,4.019372463226318,0.05
810,3.4745595455169678,0.03
820,3.915717363357544,0.05
830,3.366732597351074,0.03
840,3.811086416244507,0.05
850,3.2618627548217773,0.04
860,3.7115488052368164,0.05
870,3.1556434631347656,0.03
880,3.603067398071289,0.05
890,3.061594009399414,0.04
900,3.5052647590637207,0.05
910,2.963264226913452,0.04
920,3.3923709392547607,0.05
930,2.851259231567383,0.04
940,3.304928779602051,0.05
950,2.751708745956421,0.04
960,3.2082180976867676,0.05
970,2.6537346839904785,0.04
980,3.1078414916992188,0.05
990,2.55351185798645,0.04
1000,3.001945734024048,0.05
1010,2.4533958435058594,0.04
1020,2.8995001316070557,0.05
1030,2.351896286010742,0.05
1040,2.810713529586792,0.05
1050,2.2483749389648438,0.05
1060,2.702699899673462,0.05
1070,2.143894672393799,0.05
1080,2.6087212562561035,0.04
1090,2.056884288787842,0.05
1100,2.5128376483917236,0.04
1110,1.9581563472747803,0.05
1120,2.4091622829437256,0.05
1130,1.8614495992660522,0.05
1140,2.3240392208099365,0.04
1150,1.7618643045425415,0.05
1160,2.233942747116089,0.04
1170,1.6629136800765991,0.05
1180,2.1249656677246094,0.05
1190,1.577821969985962,0.05
1200,2.0237998962402344,0.04
1210,1.4848074913024902,0.05
1220,1.9256492853164673,0.05
1230,1.3883947134017944,0.05
1240,1.8405585289001465,0.05
1250,1.2925258874893188,0.04
1260,1.746457576751709,0.05
1270,1.190752387046814,0.05
1280,1.6424866914749146,0.05
1290,1.1139018535614014,0.04
1300,1.5497452020645142,0.05
1310,1.0151368379592896,0.04
1320,1.4516139030456543,0.05
1330,0.9213913679122925,0.04
1340,1.3747810125350952,0.05
1350,0.8207476139068604,0.04
1360,1.2771532535552979,0.05
1370,0.7300137877464294,0.04
