,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc Male IID, ablated acc Male IID,random ablate acc mean Male IID,random ablate acc std Male IID, vanilla acc Male Gen, ablated acc Male Gen,random ablate acc mean Male Gen,random ablate acc std Male Gen, vanilla acc Female IID, ablated acc Female IID,random ablate acc mean Female IID,random ablate acc std Female IID, vanilla acc Female Gen, ablated acc Female Gen,random ablate acc mean Female Gen,random ablate acc std Female Gen
0,923052ea-9464-463e-b47e-ba0dfc201107,reflexive,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2,0.6943968683481216,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.505005005005005,0.495,0.0,2359296,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
1,31b25861-7175-4613-92b5-2d54237301a2,reflexive,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2,0.6943967491388321,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.505005005005005,0.492,0.0,4718592,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
2,53e4b5fa-21c8-4a3c-9d5b-1de5ac81188b,reflexive,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2,0.4653783142566681,0.46546919643878937,0.97997997997998,0.48598598598598597,0.976,0.511,0.5065065065065065,0.495,272640.0,2359296,0.85,0.825,0.8068000000000002,0.021802752119858604,0.708,0.694,0.6984,0.01049952379872533,0.726,0.712,0.7154,0.0024166091947189165,0.554,0.568,0.563,0.009838699100999045
3,676940b0-7de5-45e2-8693-35a619387530,reflexive,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.5165165165165165,0.497,0.0,4718592,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
4,3bc0fde9-155d-452e-b392-2fb5ddf9ca18,reflexive,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2,0.6354497969150543,0.6345343589782715,0.8413413413413413,0.48598598598598597,0.823,0.511,0.488988988988989,0.48,110592.0,2359296,0.85,0.84,0.8526,0.006945502141674141,0.708,0.687,0.6961999999999999,0.004534313619501858,0.726,0.728,0.7273999999999999,0.007310266752998834,0.554,0.57,0.557,0.012361229712289916
5,edfbdb4d-f6e4-4a89-a7e0-285d46d8deab,reflexive,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2,0.6943968683481216,0.6924581527709961,0.48598598598598597,0.48598598598598597,0.511,0.511,0.4904904904904905,0.513,0.0,4718592,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
6,0abb3e19-1fcc-4c0d-a113-419e9fda82c4,reflexive,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2,0.5328867733478546,0.5295892655849457,0.9184184184184184,0.48598598598598597,0.917,0.511,0.5205205205205206,0.546,369408.0,2359296,0.85,0.864,0.8320000000000001,0.021927152117865212,0.708,0.749,0.6708000000000001,0.009495261976375383,0.726,0.726,0.7015999999999998,0.0044090815370097245,0.554,0.589,0.5366000000000001,0.01377824371971988
7,6e94b0a1-b857-4f1b-8afe-c999c14ec26a,reflexive,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2,0.6943968236446381,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.511011011011011,0.5,0.0,4718592,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
8,3598a69c-5891-4c89-93d1-3620a28a2f93,reflexive,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2,0.2981626018881798,0.29370373487472534,0.9784784784784785,0.48598598598598597,0.982,0.511,0.509009009009009,0.519,426240.0,2359296,0.85,0.801,0.8033999999999999,0.016414627622946543,0.708,0.666,0.6904,0.01539610340313415,0.726,0.705,0.6928,0.012749901960407362,0.554,0.569,0.5714,0.012076423311560398
9,f42fb4d7-ff4a-4570-85b1-7ee54b411b71,reflexive,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.51001001001001,0.512,0.0,4718592,0.85,0.85,0.85,0.0,0.708,0.708,0.708,0.0,0.726,0.726,0.726,0.0,0.554,0.554,0.554,0.0
10,3cc4d48b-390a-419c-a0e1-0bf77c75b12c,reflexive,2000,1000,500,0.001,0,0,5,attn,-1,0.0,gpt2,0.34027766436338425,0.3367561101913452,0.984984984984985,0.48598598598598597,0.985,0.511,0.6691691691691691,0.669,400896.0,2359296,0.85,0.791,0.8398,0.011016351483136339,0.708,0.722,0.7278,0.02601076700137847,0.726,0.726,0.7405999999999999,0.012338557452149755,0.554,0.609,0.5982,0.028715152794300074
