step,loss,accuracy
0,7.097423076629639,0.15
10,6.697647571563721,0.18
20,6.834338188171387,0.15
30,6.178054332733154,0.22
40,6.065941333770752,0.16
50,5.306117057800293,0.23
60,5.129178047180176,0.16
70,4.594269752502441,0.27
80,4.563348293304443,0.23
90,4.14831018447876,0.3
100,4.1958723068237305,0.26
110,3.854557991027832,0.35
120,3.9275476932525635,0.3
130,3.6343672275543213,0.41
140,3.712641954421997,0.34
150,3.453963041305542,0.48
160,3.5391619205474854,0.36
170,3.2943902015686035,0.5
180,3.383869171142578,0.38
190,3.1652755737304688,0.49
200,3.260283946990967,0.39
210,3.075881242752075,0.5
220,3.16068434715271,0.4
230,2.9879837036132812,0.51
240,3.0732972621917725,0.42
250,2.9039907455444336,0.52
260,3.014241933822632,0.42
270,2.82517147064209,0.52
280,2.943622350692749,0.44
290,2.7423255443573,0.52
300,2.867325782775879,0.44
310,2.6810858249664307,0.52
320,2.7912111282348633,0.44
330,2.5992801189422607,0.52
340,2.7129931449890137,0.44
350,2.5149343013763428,0.52
360,2.645827293395996,0.44
370,2.4275102615356445,0.52
380,2.558983325958252,0.45
390,2.332906484603882,0.53
400,2.469428539276123,0.45
410,2.262244939804077,0.53
420,2.3693172931671143,0.45
430,2.162137746810913,0.53
440,2.2740626335144043,0.45
450,2.0542151927948,0.52
460,2.192211627960205,0.45
470,1.9511525630950928,0.53
480,2.08768367767334,0.44
490,1.8369858264923096,0.53
500,1.9777650833129883,0.45
510,1.7386596202850342,0.52
520,1.8589887619018555,0.45
530,1.6121931076049805,0.52
540,1.7388463020324707,0.45
550,1.4974546432495117,0.52
560,1.6362109184265137,0.45
570,1.3700754642486572,0.53
580,1.5173068046569824,0.47
590,1.2450639009475708,0.54
600,1.3908873796463013,0.47
610,1.150164246559143,0.53
620,1.2769325971603394,0.48
630,1.0308715105056763,0.54
640,1.1589373350143433,0.48
650,0.9068180918693542,0.55
660,1.0535446405410767,0.48
670,0.7905780076980591,0.55
680,0.9394656419754028,0.48
690,0.6668229103088379,0.55
700,0.8155611753463745,0.49
710,0.5701444149017334,0.55
720,0.705126166343689,0.49
730,0.4594201147556305,0.55
740,0.5790702700614929,0.51
750,0.3365945816040039,0.56
760,0.49645423889160156,0.5
770,0.22304460406303406,0.56
780,0.3638351559638977,0.5
790,0.1063138097524643,0.56
800,0.25262588262557983,0.51
810,0.014089886099100113,0.56
820,0.1326543688774109,0.52
830,-0.10555200278759003,0.57
840,0.040557611733675,0.51
850,-0.21415072679519653,0.59
860,-0.07796066254377365,0.52
870,-0.332098126411438,0.59
880,-0.19063708186149597,0.52
890,-0.4289785623550415,0.59
900,-0.3040105700492859,0.52
910,-0.5357632040977478,0.59
920,-0.4207375645637512,0.52
930,-0.6481035947799683,0.59
940,-0.5116767287254333,0.52
950,-0.7563755512237549,0.61
960,-0.6294065713882446,0.52
970,-0.8687839508056641,0.62
980,-0.7360833287239075,0.52
990,-0.9622427225112915,0.62
1000,-0.8531226515769958,0.52
1010,-1.0766730308532715,0.62
1020,-0.9576074481010437,0.52
1030,-1.1873635053634644,0.62
1040,-1.053610920906067,0.52
1050,-1.3051097393035889,0.62
1060,-1.1691172122955322,0.52
1070,-1.4175975322723389,0.62
1080,-1.2746117115020752,0.52
1090,-1.5105695724487305,0.62
1100,-1.3898063898086548,0.53
1110,-1.6222349405288696,0.62
1120,-1.505041480064392,0.54
1130,-1.7361611127853394,0.62
1140,-1.5930770635604858,0.54
1150,-1.8459941148757935,0.63
1160,-1.6961588859558105,0.54
1170,-1.9497621059417725,0.63
1180,-1.7936668395996094,0.54
1190,-2.039348602294922,0.63
1200,-1.902099847793579,0.54
1210,-2.145036458969116,0.64
1220,-2.0145788192749023,0.54
1230,-2.247166395187378,0.64
1240,-2.097071886062622,0.54
1250,-2.355339527130127,0.64
1260,-2.2095818519592285,0.54
1270,-2.4644346237182617,0.65
1280,-2.3119165897369385,0.54
1290,-2.5489537715911865,0.66
1300,-2.423457622528076,0.55
1310,-2.6540896892547607,0.66
1320,-2.5258712768554688,0.56
1330,-2.7578394412994385,0.66
1340,-2.60858154296875,0.56
1350,-2.8639044761657715,0.66
1360,-2.71297287940979,0.58
1370,-2.9686639308929443,0.67
1380,-2.8135571479797363,0.58
1390,-3.052922487258911,0.67
1400,-2.913883686065674,0.58
1410,-3.1538212299346924,0.67
1420,-3.02549147605896,0.59
1430,-3.2652902603149414,0.68
1440,-3.1057958602905273,0.58
1450,-3.3572838306427,0.68
1460,-3.2011077404022217,0.59
1470,-3.4564452171325684,0.68
1480,-3.3053691387176514,0.59
1490,-3.541273593902588,0.68
1500,-3.405334949493408,0.59
1510,-3.637833833694458,0.69
1520,-3.5092151165008545,0.59
1530,-3.7327659130096436,0.7
1540,-3.5926482677459717,0.6
1550,-3.8349063396453857,0.7
1560,-3.686380624771118,0.6
1570,-3.9365203380584717,0.71
1580,-3.7880361080169678,0.6
1590,-4.013720989227295,0.71
1600,-3.8809826374053955,0.6
1610,-4.10507869720459,0.71
1620,-3.978297472000122,0.61
1630,-4.205038070678711,0.71
1640,-4.062196731567383,0.6
1650,-4.301519393920898,0.72
1660,-4.161642551422119,0.61
1670,-4.39849853515625,0.73
1680,-4.253146171569824,0.62
1690,-4.473378658294678,0.73
1700,-4.3481340408325195,0.62
1710,-4.564198970794678,0.73
1720,-4.449512958526611,0.62
1730,-4.658501148223877,0.73
1740,-4.520012855529785,0.62
1750,-4.752335548400879,0.73
1760,-4.616094589233398,0.62
1770,-4.848376274108887,0.74
1780,-4.713074684143066,0.62
1790,-4.91343355178833,0.74
1800,-4.807920932769775,0.65
1810,-5.008645534515381,0.74
1820,-4.8910746574401855,0.64
1830,-5.094658374786377,0.74
1840,-4.9866509437561035,0.65
1850,-5.186285018920898,0.74
1860,-5.06561803817749,0.65
1870,-5.26354455947876,0.74
1880,-5.160781383514404,0.66
1890,-5.35397481918335,0.77
1900,-5.2536444664001465,0.68
1910,-5.43538761138916,0.76
1920,-5.3288655281066895,0.68
1930,-5.522833347320557,0.77
1940,-5.427170276641846,0.69
1950,-5.606205463409424,0.77
1960,-5.502248287200928,0.68
1970,-5.685619831085205,0.77
1980,-5.591755390167236,0.69
1990,-5.771803855895996,0.77
2000,-5.677624225616455,0.7
2010,-5.8451457023620605,0.77
2020,-5.7565836906433105,0.7
2030,-5.92579460144043,0.77
2040,-5.851014614105225,0.7
2050,-6.015046119689941,0.77
2060,-5.9213690757751465,0.7
2070,-6.090981483459473,0.77
2080,-6.010168552398682,0.71
2090,-6.172372817993164,0.77
2100,-6.1035990715026855,0.73
2110,-6.2420430183410645,0.77
2120,-6.177371025085449,0.73
2130,-6.326203346252441,0.77
2140,-6.261611461639404,0.73
2150,-6.412484645843506,0.77
2160,-6.331432342529297,0.73
2170,-6.478907585144043,0.77
2180,-6.418051242828369,0.73
2190,-6.563208103179932,0.77
2200,-6.505403518676758,0.73
2210,-6.632648944854736,0.77
2220,-6.576388359069824,0.73
2230,-6.716043472290039,0.77
2240,-6.663278102874756,0.74
2250,-6.790896892547607,0.77
2260,-6.735744953155518,0.74
2270,-6.863974571228027,0.77
2280,-6.821335315704346,0.75
2290,-6.940879821777344,0.79
2300,-6.897801876068115,0.75
2310,-7.0084710121154785,0.79
2320,-6.967905044555664,0.75
2330,-7.087952613830566,0.8
2340,-7.050184726715088,0.75
2350,-7.163115978240967,0.8
2360,-7.125521183013916,0.76
2370,-7.232273101806641,0.8
2380,-7.201209545135498,0.76
2390,-7.3034772872924805,0.8
2400,-7.2780890464782715,0.76
2410,-7.368634223937988,0.8
2420,-7.346683979034424,0.76
2430,-7.444262504577637,0.8
2440,-7.425997734069824,0.76
2450,-7.51743221282959,0.81
2460,-7.489596843719482,0.76
2470,-7.579570293426514,0.81
2480,-7.560899257659912,0.77
2490,-7.649845123291016,0.81
2500,-7.638034820556641,0.77
2510,-7.716208457946777,0.81
2520,-7.7059526443481445,0.77
2530,-7.785884380340576,0.82
2540,-7.7735490798950195,0.77
2550,-7.8527045249938965,0.83
2560,-7.838660717010498,0.78
2570,-7.919536113739014,0.83
2580,-7.904416561126709,0.77
2590,-7.989396572113037,0.83
2600,-7.980462551116943,0.78
2610,-8.052038192749023,0.84
2620,-8.040398597717285,0.77
2630,-8.11843204498291,0.84
2640,-8.112934112548828,0.81
2650,-8.18730354309082,0.84
2660,-8.174405097961426,0.8
2670,-8.24889087677002,0.84
2680,-8.240716934204102,0.81
2690,-8.311237335205078,0.84
2700,-8.314663887023926,0.82
2710,-8.372695922851562,0.84
2720,-8.368769645690918,0.82
2730,-8.436156272888184,0.84
2740,-8.437597274780273,0.84
2750,-8.501923561096191,0.85
2760,-8.49370288848877,0.84
2770,-8.55545425415039,0.85
2780,-8.558842658996582,0.84
2790,-8.619041442871094,0.85
2800,-8.62333869934082,0.84
2810,-8.676746368408203,0.85
2820,-8.680936813354492,0.84
2830,-8.736873626708984,0.85
2840,-8.74199390411377,0.84
2850,-8.796619415283203,0.85
2860,-8.799342155456543,0.84
2870,-8.852182388305664,0.85
2880,-8.861736297607422,0.84
2890,-8.909295082092285,0.85
2900,-8.92249584197998,0.84
2910,-8.964859008789062,0.85
2920,-8.974905014038086,0.84
2930,-9.021496772766113,0.87
2940,-9.033734321594238,0.84
2950,-9.075385093688965,0.87
2960,-9.089544296264648,0.86
2970,-9.13239574432373,0.88
2980,-9.147322654724121,0.85
2990,-9.190119743347168,0.88
3000,-9.198819160461426,0.86
3010,-9.241985321044922,0.88
3020,-9.260172843933105,0.86
3030,-9.291656494140625,0.87
3040,-9.313148498535156,0.86
3050,-9.345638275146484,0.88
3060,-9.364739418029785,0.86
3070,-9.39563274383545,0.88
3080,-9.41891098022461,0.86
3090,-9.450242042541504,0.88
3100,-9.474386215209961,0.86
3110,-9.500197410583496,0.88
3120,-9.525023460388184,0.86
3130,-9.551190376281738,0.88
3140,-9.575634956359863,0.87
3150,-9.597847938537598,0.89
3160,-9.624574661254883,0.88
3170,-9.64715576171875,0.89
3180,-9.675065994262695,0.87
3190,-9.699378967285156,0.89
3200,-9.724504470825195,0.88
3210,-9.740743637084961,0.89
3220,-9.774198532104492,0.88
3230,-9.793953895568848,0.89
3240,-9.827654838562012,0.88
3250,-9.83456039428711,0.89
3260,-9.8707857131958,0.88
3270,-9.883989334106445,0.9
3280,-9.921568870544434,0.89
3290,-9.93222427368164,0.9
3300,-9.963395118713379,0.88
3310,-9.9746732711792,0.9
3320,-10.011675834655762,0.9
3330,-10.017365455627441,0.9
3340,-10.061043739318848,0.89
3350,-10.059646606445312,0.9
3360,-10.104597091674805,0.89
3370,-10.104192733764648,0.9
3380,-10.149984359741211,0.91
3390,-10.150084495544434,0.9
3400,-10.192859649658203,0.91
3410,-10.188390731811523,0.91
3420,-10.241036415100098,0.91
3430,-10.236083984375,0.91
3440,-10.282368659973145,0.91
3450,-10.276541709899902,0.91
3460,-10.326187133789062,0.91
3470,-10.317623138427734,0.91
3480,-10.366029739379883,0.91
3490,-10.358139991760254,0.91
