step,loss,accuracy
0,14.129013061523438,0.05
10,14.052759170532227,0.02
20,13.913843154907227,0.05
30,13.612953186035156,0.02
40,13.309585571289062,0.05
50,13.006304740905762,0.02
60,12.796027183532715,0.05
70,12.684952735900879,0.02
80,12.603269577026367,0.06
90,12.570769309997559,0.03
100,12.5206937789917,0.05
110,12.528862953186035,0.04
120,12.473312377929688,0.05
130,12.481948852539062,0.04
140,12.424066543579102,0.05
150,12.420989036560059,0.04
160,12.373241424560547,0.06
170,12.354972839355469,0.05
180,12.318979263305664,0.06
190,12.288595199584961,0.05
200,12.260757446289062,0.06
210,12.224105834960938,0.05
220,12.192960739135742,0.05
230,12.154839515686035,0.04
240,12.117596626281738,0.05
250,12.073436737060547,0.04
260,12.043519973754883,0.05
270,11.988407135009766,0.04
280,11.961051940917969,0.05
290,11.906529426574707,0.04
300,11.881247520446777,0.05
310,11.827783584594727,0.04
320,11.800148010253906,0.06
330,11.745628356933594,0.04
340,11.719947814941406,0.06
350,11.653046607971191,0.04
360,11.635560989379883,0.06
370,11.56147289276123,0.04
380,11.557031631469727,0.06
390,11.467864036560059,0.04
400,11.472960472106934,0.06
410,11.3900146484375,0.04
420,11.374979972839355,0.06
430,11.295797348022461,0.04
440,11.282121658325195,0.06
450,11.200825691223145,0.04
460,11.191265106201172,0.06
470,11.093384742736816,0.04
480,11.09490966796875,0.06
490,10.998128890991211,0.04
500,10.9962797164917,0.06
510,10.898626327514648,0.04
520,10.89046573638916,0.06
530,10.781620979309082,0.05
540,10.774630546569824,0.06
550,10.67754077911377,0.05
560,10.67373275756836,0.06
570,10.580259323120117,0.05
580,10.571516036987305,0.06
590,10.456722259521484,0.05
600,10.465137481689453,0.06
610,10.356257438659668,0.05
620,10.360005378723145,0.06
630,10.25724983215332,0.05
640,10.24728775024414,0.06
650,10.150468826293945,0.05
660,10.15490436553955,0.06
670,10.04292106628418,0.05
680,10.055837631225586,0.06
690,9.951313018798828,0.05
700,9.957426071166992,0.06
710,9.844978332519531,0.05
720,9.850505828857422,0.06
730,9.744153022766113,0.05
740,9.74162483215332,0.06
750,9.637939453125,0.05
760,9.643285751342773,0.06
770,9.5394287109375,0.05
780,9.544322967529297,0.06
790,9.43615436553955,0.05
800,9.445889472961426,0.06
810,9.334874153137207,0.05
820,9.341450691223145,0.06
830,9.236115455627441,0.05
840,9.24744987487793,0.06
850,9.143651008605957,0.05
860,9.148252487182617,0.06
870,9.034980773925781,0.05
880,9.048528671264648,0.06
890,8.945534706115723,0.05
900,8.953706741333008,0.06
910,8.843193054199219,0.05
920,8.851349830627441,0.06
930,8.743693351745605,0.05
940,8.763195037841797,0.06
950,8.65329360961914,0.05
960,8.661783218383789,0.06
970,8.554832458496094,0.05
980,8.56750202178955,0.06
990,8.459444046020508,0.05
1000,8.46716594696045,0.06
1010,8.361299514770508,0.05
1020,8.370944023132324,0.06
1030,8.262960433959961,0.05
1040,8.279281616210938,0.06
1050,8.159974098205566,0.05
1060,8.186097145080566,0.06
1070,8.064726829528809,0.05
1080,8.081828117370605,0.06
1090,7.977626323699951,0.05
1100,7.993128776550293,0.06
1110,7.883908271789551,0.05
1120,7.898066997528076,0.06
1130,7.783227920532227,0.05
1140,7.8028364181518555,0.06
1150,7.690302848815918,0.05
1160,7.710903644561768,0.06
1170,7.598474025726318,0.05
1180,7.621095180511475,0.06
1190,7.503861904144287,0.05
1200,7.526364803314209,0.06
1210,7.412445545196533,0.05
1220,7.434237957000732,0.06
1230,7.322197914123535,0.05
1240,7.347426414489746,0.06
1250,7.224491596221924,0.05
1260,7.254556655883789,0.06
1270,7.127037048339844,0.05
1280,7.165518283843994,0.06
1290,7.047425270080566,0.05
1300,7.071713447570801,0.06
1310,6.95172119140625,0.05
1320,6.984109878540039,0.06
1330,6.8603692054748535,0.05
1340,6.897916793823242,0.06
1350,6.769537448883057,0.05
1360,6.805366039276123,0.06
1370,6.671018600463867,0.05
1380,6.711415767669678,0.06
1390,6.591521739959717,0.05
1400,6.629367828369141,0.06
1410,6.501359462738037,0.05
1420,6.540943622589111,0.06
1430,6.406651973724365,0.05
1440,6.451892852783203,0.06
1450,6.3160200119018555,0.05
1460,6.364372730255127,0.06
1470,6.223400592803955,0.05
1480,6.2710981369018555,0.06
1490,6.145448684692383,0.05
1500,6.184700965881348,0.06
1510,6.04826021194458,0.05
1520,6.093785285949707,0.06
1530,5.961528778076172,0.05
1540,6.024901390075684,0.06
1550,5.868816375732422,0.05
1560,5.9301252365112305,0.06
1570,5.781912803649902,0.05
1580,5.840662479400635,0.06
1590,5.707520961761475,0.05
1600,5.7583184242248535,0.06
1610,5.615127086639404,0.05
1620,5.668833255767822,0.06
1630,5.530402183532715,0.05
1640,5.59589147567749,0.06
1650,5.44442081451416,0.05
1660,5.505048751831055,0.06
1670,5.356751441955566,0.05
1680,5.420028209686279,0.06
1690,5.27958345413208,0.05
1700,5.335625171661377,0.06
1710,5.187445640563965,0.05
1720,5.246610641479492,0.06
1730,5.101794242858887,0.05
1740,5.174435138702393,0.06
1750,5.018857955932617,0.05
1760,5.09407901763916,0.06
1770,4.9261474609375,0.05
1780,5.002676486968994,0.06
1790,4.854823112487793,0.05
1800,4.926406383514404,0.06
1810,4.767475128173828,0.05
1820,4.840075969696045,0.06
1830,4.681524276733398,0.05
1840,4.756447792053223,0.06
1850,4.595366954803467,0.05
1860,4.6825971603393555,0.06
1870,4.518985748291016,0.05
1880,4.596467971801758,0.06
1890,4.432514190673828,0.05
1900,4.512809753417969,0.06
1910,4.353778839111328,0.05
1920,4.441493988037109,0.06
1930,4.2713117599487305,0.05
1940,4.3543009757995605,0.06
1950,4.1827898025512695,0.05
1960,4.2777509689331055,0.06
1970,4.107432842254639,0.05
1980,4.199513912200928,0.06
1990,4.024291515350342,0.05
2000,4.114977836608887,0.06
2010,3.9514615535736084,0.05
2020,4.0409626960754395,0.06
2030,3.8674545288085938,0.05
2040,3.956712245941162,0.06
2050,3.777147054672241,0.05
2060,3.8855271339416504,0.06
2070,3.708803176879883,0.05
2080,3.80545973777771,0.06
2090,3.623647689819336,0.05
2100,3.723884344100952,0.06
2110,3.549415111541748,0.05
2120,3.647730588912964,0.06
2130,3.467376232147217,0.05
2140,3.567988395690918,0.06
2150,3.38069748878479,0.05
2160,3.4954185485839844,0.06
2170,3.310865640640259,0.05
2180,3.4155521392822266,0.06
2190,3.230278730392456,0.05
2200,3.337578058242798,0.06
2210,3.159714698791504,0.05
2220,3.2696752548217773,0.06
2230,3.0833816528320312,0.05
2240,3.188575506210327,0.06
2250,2.997199058532715,0.05
2260,3.1176679134368896,0.06
2270,2.92586612701416,0.05
2280,3.038050651550293,0.06
2290,2.8467674255371094,0.05
2300,2.9563353061676025,0.06
2310,2.780243158340454,0.05
2320,2.8900551795959473,0.06
2330,2.6959457397460938,0.05
2340,2.808845281600952,0.06
2350,2.61578106880188,0.06
2360,2.74428129196167,0.06
2370,2.550690174102783,0.05
2380,2.6685478687286377,0.06
2390,2.4660215377807617,0.05
2400,2.5841891765594482,0.06
2410,2.399522542953491,0.05
2420,2.5229170322418213,0.06
2430,2.322155237197876,0.05
2440,2.4429616928100586,0.06
2450,2.2406997680664062,0.06
2460,2.3779351711273193,0.06
2470,2.174755811691284,0.05
2480,2.3016927242279053,0.06
2490,2.09416127204895,0.06
2500,2.2237017154693604,0.06
2510,2.0354764461517334,0.05
2520,2.1578080654144287,0.06
2530,1.9511902332305908,0.06
2540,2.0832223892211914,0.06
2550,1.8747740983963013,0.06
2560,2.0173609256744385,0.06
2570,1.8097740411758423,0.06
2580,1.9401994943618774,0.06
2590,1.7306445837020874,0.06
2600,1.8620091676712036,0.06
2610,1.669445514678955,0.06
2620,1.8020399808883667,0.06
2630,1.5911110639572144,0.06
2640,1.7233084440231323,0.06
2650,1.512359619140625,0.06
2660,1.6636888980865479,0.06
2670,1.4515413045883179,0.06
2680,1.5862606763839722,0.06
2690,1.3729008436203003,0.06
2700,1.5099631547927856,0.06
2710,1.30864679813385,0.06
2720,1.4496110677719116,0.06
2730,1.236325979232788,0.06
2740,1.3719120025634766,0.06
2750,1.1529039144515991,0.06
2760,1.3129781484603882,0.05
2770,1.0998814105987549,0.06
2780,1.2397546768188477,0.06
2790,1.0199588537216187,0.06
2800,1.16538667678833,0.06
2810,0.9631958603858948,0.06
2820,1.1056853532791138,0.05
2830,0.8871389031410217,0.06
2840,1.028234601020813,0.05
2850,0.8123421669006348,0.06
2860,0.9728487133979797,0.05
2870,0.7509501576423645,0.06
2880,0.8968464732170105,0.05
2890,0.6774930357933044,0.06
2900,0.825607180595398,0.05
2910,0.6210027933120728,0.06
2920,0.76816326379776,0.05
2930,0.5450477004051208,0.06
2940,0.691537082195282,0.05
2950,0.4833182692527771,0.06
2960,0.6361842751502991,0.05
2970,0.41924503445625305,0.06
2980,0.5651299357414246,0.05
2990,0.3430514335632324,0.06
3000,0.5064018964767456,0.05
3010,0.286055326461792,0.06
3020,0.43416187167167664,0.05
3030,0.21148735284805298,0.06
3040,0.36056944727897644,0.05
3050,0.15393580496311188,0.06
3060,0.3045043349266052,0.05
3070,0.08315403014421463,0.06
3080,0.23376061022281647,0.05
3090,0.011079726740717888,0.06
3100,0.17723555862903595,0.05
3110,-0.0448397621512413,0.06
3120,0.10719062387943268,0.05
3130,-0.11596284061670303,0.06
3140,0.03688212111592293,0.05
3150,-0.16800647974014282,0.06
3160,-0.016974927857518196,0.05
3170,-0.23780715465545654,0.06
3180,-0.08475840091705322,0.05
3190,-0.3069506287574768,0.06
3200,-0.14008580148220062,0.05
3210,-0.3607102334499359,0.06
3220,-0.21042650938034058,0.05
3230,-0.4325592815876007,0.06
3240,-0.2803499102592468,0.05
3250,-0.48610854148864746,0.06
3260,-0.33047395944595337,0.05
3270,-0.5498846173286438,0.06
3280,-0.39904552698135376,0.05
3290,-0.6209830641746521,0.06
3300,-0.4525015354156494,0.05
3310,-0.670231819152832,0.06
3320,-0.5173821449279785,0.05
3330,-0.7392821907997131,0.06
3340,-0.5836869478225708,0.05
3350,-0.7911856770515442,0.06
3360,-0.6368765830993652,0.05
3370,-0.8533743619918823,0.06
3380,-0.70390784740448,0.05
3390,-0.9217702150344849,0.06
3400,-0.7520922422409058,0.05
3410,-0.9695650935173035,0.06
3420,-0.8189630508422852,0.05
3430,-1.0347450971603394,0.06
3440,-0.8732372522354126,0.05
3450,-1.0909314155578613,0.06
3460,-0.9317278265953064,0.05
3470,-1.1473602056503296,0.06
3480,-0.9958186149597168,0.05
3490,-1.201688528060913,0.06
3500,-1.0506205558776855,0.05
3510,-1.2572075128555298,0.06
3520,-1.1045067310333252,0.05
3530,-1.3202109336853027,0.06
3540,-1.1614315509796143,0.05
3550,-1.3748435974121094,0.06
3560,-1.2152918577194214,0.05
3570,-1.4280445575714111,0.06
3580,-1.276451587677002,0.05
3590,-1.4809415340423584,0.06
3600,-1.3297897577285767,0.05
3610,-1.5344884395599365,0.06
3620,-1.38289213180542,0.05
3630,-1.5931808948516846,0.06
3640,-1.4341222047805786,0.05
3650,-1.6433401107788086,0.06
3660,-1.4846981763839722,0.05
3670,-1.694450855255127,0.06
3680,-1.5435378551483154,0.05
3690,-1.7437713146209717,0.06
3700,-1.594037652015686,0.05
3710,-1.792986273765564,0.06
3720,-1.6429216861724854,0.05
3730,-1.8494045734405518,0.06
3740,-1.6910568475723267,0.05
3750,-1.8955565690994263,0.06
3760,-1.7409131526947021,0.05
3770,-1.9441829919815063,0.06
3780,-1.7954024076461792,0.05
3790,-1.991469383239746,0.06
3800,-1.8421754837036133,0.06
3810,-2.034975290298462,0.06
3820,-1.8886184692382812,0.06
3830,-2.0866589546203613,0.06
3840,-1.932924747467041,0.06
3850,-2.131911039352417,0.06
3860,-1.9765779972076416,0.06
3870,-2.174849033355713,0.06
3880,-2.0279202461242676,0.06
3890,-2.219001293182373,0.06
3900,-2.072514295578003,0.06
3910,-2.259894371032715,0.06
3920,-2.1140379905700684,0.06
3930,-2.3057165145874023,0.06
3940,-2.155287027359009,0.06
3950,-2.3453991413116455,0.06
3960,-2.1950650215148926,0.06
3970,-2.385457992553711,0.06
3980,-2.23689866065979,0.06
3990,-2.4260005950927734,0.06
4000,-2.2807908058166504,0.06
4010,-2.4621434211730957,0.06
4020,-2.320281982421875,0.06
4030,-2.498262882232666,0.06
4040,-2.3572728633880615,0.06
4050,-2.5393826961517334,0.06
4060,-2.395195960998535,0.07
4070,-2.5752604007720947,0.06
4080,-2.4310972690582275,0.07
4090,-2.6081042289733887,0.06
4100,-2.4697020053863525,0.07
4110,-2.641869306564331,0.06
4120,-2.5043845176696777,0.07
4130,-2.6750855445861816,0.06
4140,-2.538832426071167,0.07
4150,-2.709946632385254,0.06
4160,-2.5699408054351807,0.07
4170,-2.7399978637695312,0.06
4180,-2.602677345275879,0.07
4190,-2.770071506500244,0.06
4200,-2.636718511581421,0.07
4210,-2.799816131591797,0.06
4220,-2.6655473709106445,0.07
4230,-2.8279130458831787,0.06
4240,-2.6944921016693115,0.07
4250,-2.8557517528533936,0.06
4260,-2.7228245735168457,0.07
4270,-2.8844997882843018,0.06
4280,-2.7513489723205566,0.07
4290,-2.909714937210083,0.06
4300,-2.777571439743042,0.07
4310,-2.9347424507141113,0.06
4320,-2.8052358627319336,0.07
4330,-2.960667133331299,0.06
4340,-2.829265832901001,0.07
4350,-2.9839441776275635,0.06
4360,-2.853760004043579,0.07
4370,-3.0076522827148438,0.06
4380,-2.8778903484344482,0.07
4390,-3.029973030090332,0.06
4400,-2.9004969596862793,0.07
4410,-3.0509324073791504,0.06
4420,-2.9233593940734863,0.07
4430,-3.07297945022583,0.06
4440,-2.944669723510742,0.07
4450,-3.0926413536071777,0.06
4460,-2.965526580810547,0.07
4470,-3.113922357559204,0.06
4480,-2.98569917678833,0.07
