,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl
0,8c9a2dac-8f53-4f60-bf70-d074c39ee00b,tag,16521,1522,15977,16,0.001,0,0,1.0,gpt_neox,EleutherAI/pythia-160m,2.4633760490725116,2.4466868241628013,0.5014609884986012,0.1644389182468138,0.5064780622144333,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.16446912873695427,-1,-1,-1
1,4750dc30-2ad8-4475-8334-a95830993ba0,tag,16521,1522,15977,16,0.001,0,1,1.0,gpt_neox,EleutherAI/pythia-160m,2.483808967374986,2.4667426347732544,0.49835250233136463,0.1644389182468138,0.500406834825061,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.07623514208237482,-1,-1,-1
2,b30a2d60-193b-487b-b4a7-22c3dfbf82a7,tag,16521,1522,15977,16,0.001,0,2,1.0,gpt_neox,EleutherAI/pythia-160m,2.4980525816640546,2.4804288943608603,0.49679825924774634,0.1644389182468138,0.4969017963322276,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.04508051194530752,-1,-1,-1
3,31af6570-714d-4767-860a-966a53b24946,tag,16521,1522,15977,16,0.001,0,3,1.0,gpt_neox,EleutherAI/pythia-160m,2.5032819586415447,2.4852100610733032,0.4946844886540255,0.1644389182468138,0.49615071665519184,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.033427217190549814,-1,-1,-1
4,64a7bd1e-e0ab-4187-9808-6a62904fd25a,tag,16521,1522,15977,16,0.001,0,4,1.0,gpt_neox,EleutherAI/pythia-160m,2.5084432824965446,2.490256349245707,0.4902082685732049,0.1644389182468138,0.4902672591850786,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.02652278533021381,-1,-1,-1
5,2a9993a2-448d-4029-848d-250d10b26cd4,tag,16521,1522,15977,16,0.001,0,5,1.0,gpt_neox,EleutherAI/pythia-160m,2.5144568873989965,2.496344963709513,0.4925707180603046,0.1644389182468138,0.4970269762784002,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.02286474350685523,-1,-1,-1
6,b3d660c3-6537-4b37-926a-e576a022f725,tag,16521,1522,15977,16,0.001,0,6,1.0,gpt_neox,EleutherAI/pythia-160m,2.5143211887728785,2.4958006143569946,0.4947466583773702,0.1644389182468138,0.4996557551480253,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.01767203487204168,-1,-1,-1
7,c56d363a-bc70-4d6d-8641-19195d9db61e,tag,16521,1522,15977,16,0.001,0,7,1.0,gpt_neox,EleutherAI/pythia-160m,2.519644675716277,2.5008412996927896,0.49300590612371775,0.1644389182468138,0.4921449583776679,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.015880488680759915,-1,-1,-1
8,07de6c4f-b1aa-47a6-9a7d-c5d5578193fe,tag,16521,1522,15977,16,0.001,0,8,1.0,gpt_neox,EleutherAI/pythia-160m,2.5188371366070164,2.5012158950169883,0.48778364936276036,0.1644389182468138,0.4915190586468048,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.013249333456415064,-1,-1,-1
9,22f13d74-a355-4a08-aa1f-803db624ea4b,tag,16521,1522,15977,16,0.001,0,9,1.0,gpt_neox,EleutherAI/pythia-160m,2.5197369552427724,2.50190003712972,0.4941871308672676,0.1644389182468138,0.4964636665206234,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.011590178412491535,-1,-1,-1
10,c04ae3bd-1b71-4a46-b835-d3f798aad998,tag,16521,1522,15977,16,0.001,0,10,1.0,gpt_neox,EleutherAI/pythia-160m,2.524515325023282,2.5065234104792276,0.48908921355299967,0.1644389182468138,0.49020466921199224,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.010716826692366007,-1,-1,-1
11,9786c414-9fcf-4953-91a3-c18c9d05a304,tag,16521,1522,15977,16,0.001,0,11,1.0,gpt_neox,EleutherAI/pythia-160m,2.5235093524379115,2.5055193503697715,0.4869132732359341,0.1644389182468138,0.4905802090505101,0.16880515741378233,4718592.0,4718592,0.0,0.0,0.009843042202251136,-1,-1,-1
