,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate acc,random ablate kl,random ablate mlm acc,random ablate mlm kl
0,f59f340d-299c-4b3a-a2b9-0b49a61e1aee,tag,16521,1522,15977,16,0.001,0,0,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8519027636897178,1.8642913897832234,0.8026824703680598,0.11696818465377418,0.7617199724604118,0.11716842961757526,109025.0,1048576,0.05672402804333971,0.05353728489483748,0.10192555025780255,-1,-1,-1,0.05481198215423837,0.18061903497077159,-1,-1
1,0136161c-9d97-488c-8a69-fbe223d0954c,tag,16521,1522,15977,16,0.001,0,0,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.94366955372595,1.9269085327784221,0.7829360881199826,0.16404256643226087,0.7732365275082932,0.16880515741378233,7082.0,2097152,0.0031867431485022306,0.004461440407903123,0.011240664373316379,-1,-1,-1,0.0038240917782026767,0.01586199992017582,-1,-1
2,8180005b-3378-4452-b623-a9f061f869ec,tag,16521,1522,15977,16,0.001,0,1,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8489072265163544,1.8555647532145183,0.8082345601996257,0.11696818465377418,0.7743005570507605,0.11716842961757526,95763.0,1048576,0.11089866156787763,0.10707456978967496,0.031619804387186805,-1,-1,-1,0.10962396430847673,0.09977136712837098,-1,-1
3,b0778ec8-47ea-40cf-9c14-6c837df72b8a,tag,16521,1522,15977,16,0.001,0,1,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.814744814749687,1.8115273118019104,0.8556226274192544,0.16404256643226087,0.8422106778494085,0.16880515741378233,11415.0,2097152,0.05353728489483748,0.05353728489483748,0.018160820615147236,-1,-1,-1,0.05289993626513703,0.016775702579223555,-1,-1
4,5821a97a-468c-40ac-b98d-07c72ebf1cba,tag,16521,1522,15977,16,0.001,0,2,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,1.860788647205599,1.8620359698931377,0.7881472239550842,0.11696818465377418,0.7666019903611442,0.11716842961757526,104774.0,1048576,0.09305289993626514,0.09241555130656469,0.030541925083838732,-1,-1,-1,0.09815168897386871,0.12506560598535094,-1,-1
5,aa301aa1-a82a-4479-9e13-d4f8e508f57e,tag,16521,1522,15977,16,0.001,0,2,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8256112894704264,1.8225796222686768,0.8558093222975917,0.16404256643226087,0.8440257870689115,0.16880515741378233,10742.0,2097152,0.07966857871255577,0.07903123008285533,0.011550041427271923,-1,-1,-1,0.07903123008285533,0.008691869168011073,-1,-1
6,2b128cd5-704e-4251-a25a-2dedfe4b9b62,tag,16521,1522,15977,16,0.001,0,3,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8863771211716436,1.8924010594685872,0.803243917654398,0.11696818465377418,0.783250923202103,0.11716842961757526,81592.0,1048576,0.10516252390057361,0.10452517527087317,0.08236181819568096,-1,-1,-1,0.10197578075207138,0.08437712592179035,-1,-1
7,cfa32888-1f24-4b64-95b1-6ee0cdae37f6,tag,16521,1522,15977,16,0.001,0,3,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8245719863522438,1.8226630290349324,0.8483415271641048,0.16404256643226087,0.8385178694373161,0.16880515741378233,12848.0,2097152,0.09177820267686425,0.0911408540471638,0.009617716130973276,-1,-1,-1,0.09050350541746335,0.0058815970095652086,-1,-1
8,5b47a904-7d85-4fdc-aa2c-320fec1f5e68,tag,16521,1522,15977,16,0.001,0,4,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8540374002149027,1.8550954858462017,0.8588895820336868,0.11696818465377418,0.8364524003254679,0.11716842961757526,46287.0,1048576,0.10579987253027406,0.09496494582536648,0.14163447246952676,-1,-1,-1,0.10962396430847673,0.04696749607570009,-1,-1
9,9470fb0b-0b0e-43f9-b1ff-2bf76a7f99f5,tag,16521,1522,15977,16,0.001,0,4,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.830130221382264,1.8305032054583232,0.8672599415022715,0.16404256643226087,0.8562934217938286,0.16880515741378233,12648.0,2097152,0.06054811982154239,0.061822817080943275,0.009454122996770934,-1,-1,-1,0.0579987253027406,0.005853479116718202,-1,-1
10,4352ff6a-1c5d-4d2a-8ae0-81614a113760,tag,16521,1522,15977,16,0.001,0,5,attn,-0.5,gpt_neox,EleutherAI/pythia-70m,2.3242677680907713,2.304991443951925,0.6888958203368684,0.11696818465377418,0.645052262627527,0.11716842961757526,33126.0,1048576,0.015296367112810707,0.015296367112810707,1.0925843024269042,-1,-1,-1,0.023581899298916506,0.6712687719088591,-1,-1
11,04e6569b-c429-42b1-a22f-11750460075e,tag,16521,1522,15977,16,0.001,0,5,mlp,-0.5,gpt_neox,EleutherAI/pythia-70m,1.8416420067510297,1.8494467337926228,0.849959549443027,0.16404256643226087,0.8356387306753458,0.16880515741378233,15194.0,2097152,0.08667941363926067,0.08986615678776291,0.020533674153801435,-1,-1,-1,0.08731676226896112,0.01630388968609335,-1,-1
